gene	prim_up_silent	prim_up_deleterious	recu_up_silent	recu_up_deleterious	prim_down_silent	prim_down_deleterious	recu_down_silent	recu_down_deleterious
MUC12	2	5	0	2	0	1	0	1
KEL	1	1	2	1	0	0	0	0
CNTNAP2	1	0	1	0	1	1	1	1
ZNF462	1	0	2	1	0	0	0	0
TMPRSS13	1	0	1	0	0	0	0	0
DNAH10	1	2	2	3	0	0	0	0
TMEM132C	1	1	1	0	0	0	0	1
SERF2	1	0	0	0	0	0	0	0
ZNF598	1	0	1	0	0	1	0	1
DNAH3	1	0	1	0	0	0	0	0
ZDHHC1	1	0	1	0	0	0	0	0
GALR2	1	0	1	0	0	0	0	0
RP11-1055B8.7	1	1	1	1	0	0	0	0
NOTCH3	1	0	0	1	0	1	0	1
ZNF682	1	0	0	0	0	0	0	0
ZNF492	1	0	0	0	0	0	0	0
LILRA3	1	0	1	0	0	0	0	0
MAGEB5	1	0	1	0	0	0	0	0
EXOSC10	1	0	0	0	0	0	0	0
PDE4DIP	2	0	0	1	0	1	0	0
FLG	2	2	1	2	0	0	0	0
SLC6A3	1	2	0	2	0	0	0	0
SLIT3	1	0	0	0	0	0	0	0
BMP5	1	0	1	0	0	0	0	0
SNAP91	1	0	1	0	0	0	0	0
SCIN	1	0	0	0	0	0	0	0
DGKB	1	0	1	0	0	0	0	0
KIAA1958	1	0	1	0	0	0	0	0
HARBI1	1	0	0	0	0	0	0	0
OR10S1	1	0	1	0	0	0	0	0
ALKBH1	1	0	0	0	0	0	0	0
SLC16A5	1	0	1	0	0	0	0	0
AFG3L2	1	0	1	1	0	0	0	0
MISP	1	0	0	0	0	0	0	0
ZNF527	2	0	1	0	0	0	0	0
ACOT8	1	0	1	0	0	0	0	0
CIB4	1	0	1	0	0	0	0	0
RXFP3	1	0	1	0	0	0	0	0
PCDHA8	1	0	2	0	0	0	0	0
SOGA3	1	0	1	0	0	0	0	0
IGF2R	1	0	1	1	0	0	0	0
PDGFA	1	0	0	0	0	0	0	0
SNX13	1	0	1	0	0	0	0	0
GTF2IRD2B	1	0	1	0	0	0	0	0
DYNC1I1	1	1	1	0	0	0	0	0
TPK1	1	0	1	0	0	0	0	0
OTOG	1	1	1	1	0	0	1	0
ARID2	1	1	1	1	0	0	0	0
NID2	1	0	1	0	0	0	0	0
ABCA3	1	0	0	0	0	0	0	0
MYO1F	1	2	1	3	0	0	0	0
ZNF625	1	0	1	0	0	0	0	0
SLITRK4	1	0	1	0	0	0	0	0
ARHGAP4	1	1	0	0	0	1	0	1
EPHB2	1	0	1	0	0	0	0	0
SLC9A1	1	0	0	0	0	0	0	0
ZNF695	1	0	0	0	0	0	0	0
NEB	1	1	3	2	0	0	0	0
LY75-CD302	1	1	0	0	0	0	0	0
HOXD4	1	0	1	0	0	0	0	0
GOLGA4	1	0	0	0	0	0	0	1
ABI3BP	1	1	0	1	0	0	0	0
PTGER4	1	0	0	0	0	0	0	0
MDC1	1	0	1	0	0	0	0	0
TNXB	1	0	2	1	0	0	0	0
TREM2	1	0	0	1	0	0	0	0
CALD1	1	1	0	0	0	0	0	0
OR9A2	1	0	0	0	0	0	0	0
PRKDC	1	0	0	1	0	0	0	0
FAM135B	1	0	0	0	0	0	0	0
PRUNE2	1	0	0	0	0	0	0	0
CACNA1B	1	1	1	1	0	0	0	0
SPTBN2	1	0	1	0	0	0	0	0
GPR152	1	0	1	0	0	0	0	0
SLC35E3	1	0	0	0	0	0	0	0
NOS1	1	1	1	1	0	0	0	0
NYNRIN	1	0	2	1	0	0	0	1
LTBP2	1	0	1	0	1	0	1	0
CCDC88C	1	0	1	2	0	0	0	0
FAM81A	1	0	0	0	0	0	0	0
MYO9A	1	0	0	0	0	1	0	1
MED9	1	0	1	0	0	0	0	0
KRT27	1	0	0	0	0	1	0	1
TMEM104	1	1	0	0	0	0	0	0
ZNF257	1	0	0	0	0	0	0	0
ZNF91	1	1	0	1	0	0	0	0
ZNF841	1	2	0	0	0	0	0	0
ZNF160	1	0	0	1	0	0	0	0
GPR112	1	1	1	1	0	0	0	0
RSG1	1	0	1	0	0	0	0	0
EGR4	1	0	1	0	0	0	0	0
NKD2	1	0	0	0	0	0	0	0
GPR98	3	1	2	0	1	0	1	0
PHACTR2	1	0	1	0	0	0	0	0
CRHR2	1	0	1	0	0	0	0	0
POM121L12	1	1	1	1	0	0	0	1
ZNF92	1	0	0	0	0	0	0	0
TFR2	1	0	1	0	0	0	0	0
RELN	1	0	3	1	0	0	0	0
CRYGN	1	0	1	0	0	0	0	0
SFMBT2	1	0	1	0	0	0	0	0
OR5R1	1	0	1	0	0	0	0	0
ASRGL1	1	0	1	1	0	0	0	0
ADAMTS20	1	0	1	0	0	0	0	0
GOLGA3	1	0	2	0	0	0	0	0
SLC27A2	1	0	1	0	0	0	0	0
UMOD	1	0	1	0	0	0	0	0
KRT33B	1	0	1	1	0	0	0	0
ACTL9	1	1	1	1	0	0	0	0
TSSK2	1	0	2	1	0	0	0	0
MYO18B	1	0	1	1	1	0	0	0
SSX3	1	0	1	0	0	0	0	0
BCORL1	1	0	0	0	0	0	0	0
UGT2B28	1	0	1	0	0	0	0	0
ABCA13	1	0	2	0	0	0	0	1
LPAR1	1	1	1	0	0	0	0	0
ANKRD30A	1	0	1	0	0	1	0	1
TJP1	1	1	1	1	0	0	0	0
CES1	1	0	1	0	0	0	0	0
KRT38	1	0	1	0	0	0	0	0
CYP4F3	1	0	1	0	0	0	0	0
PADI1	0	0	0	1	1	0	1	0
HK2	0	0	0	0	1	0	0	0
DPP10	0	0	0	0	1	0	0	0
FAM159B	0	0	0	0	1	0	1	0
PCSK1	0	0	0	0	1	0	0	0
SYNE1	0	0	0	2	1	0	0	1
GPNMB	0	1	0	0	1	0	0	0
FKBP9	0	0	0	0	1	0	1	0
EGFR	0	7	0	9	1	4	0	3
LRIT1	0	0	0	0	1	0	1	0
OR6C3	0	0	0	0	1	0	0	0
LGR5	0	2	0	2	1	0	0	0
SPIC	0	0	0	0	1	0	1	0
ASPG	0	0	0	0	1	0	1	0
NLRC5	0	0	0	0	1	0	0	0
NLRP13	0	0	0	0	1	0	1	0
DMD	0	1	1	2	1	0	0	0
UBA1	0	0	0	2	1	0	0	0
KIAA2022	0	0	0	0	1	0	1	0
TFDP3	0	0	0	0	1	0	0	0
MAGEA3	0	0	0	0	1	0	1	0
ABL2	1	0	1	0	0	0	0	0
KLHDC7A	1	0	0	0	0	0	0	0
HSPG2	1	0	0	1	0	0	0	0
DYSF	1	0	2	1	0	0	0	0
PRR23B	1	1	0	1	0	0	0	0
FAM81B	1	0	0	0	0	0	0	0
HIST1H2AM	1	0	0	0	0	0	0	0
HLA-DPA1	1	0	0	0	0	0	0	0
DNAH11	2	2	1	2	0	0	0	0
SCRN1	1	0	0	0	0	0	0	0
C10orf35	1	0	1	0	0	0	0	0
SORL1	1	0	0	0	0	0	0	0
OTOGL	1	0	0	0	0	0	0	0
NUAK1	1	0	0	0	0	0	0	0
TVP23A	1	0	0	0	0	0	0	0
OR4D1	1	0	1	0	0	0	0	0
DNAH17	1	1	1	1	0	0	0	0
ENPP7	1	0	0	0	0	0	0	0
NETO1	1	1	0	1	0	0	0	0
OR10H1	1	0	0	0	0	0	0	0
CD22	1	0	0	0	1	1	0	1
FFAR1	1	0	0	0	0	0	0	0
RYR1	2	2	1	0	1	0	0	1
SLC8A2	2	1	1	1	0	0	0	0
LILRB3	1	0	0	0	0	0	0	0
HEPH	1	0	0	0	0	0	0	0
NHSL2	1	0	0	0	0	0	0	0
LRRC7	0	1	0	0	1	0	1	0
C2orf81	0	0	0	0	1	1	0	0
ATG10	0	0	0	0	1	0	1	0
DPP6	0	0	0	0	1	0	0	0
MTMR7	0	0	0	0	1	0	1	0
TNFSF15	0	0	0	0	1	0	1	0
HMCN2	0	0	0	0	1	0	1	0
TP53AIP1	0	0	0	0	1	0	1	0
C13orf35	0	0	0	0	1	0	1	0
CD300E	0	0	0	0	1	0	1	0
LAMA1	1	0	3	0	1	1	1	1
FTHL17	0	0	1	0	1	1	0	1
SLC45A1	1	0	1	1	0	0	0	0
RPN1	1	0	1	0	0	0	0	0
ACSL1	1	0	1	0	0	0	0	0
FBN2	1	2	1	2	0	0	0	0
BMP6	1	1	1	0	0	0	0	0
FHL5	1	0	1	0	0	0	0	0
KBTBD2	1	0	1	0	0	0	0	0
ERICH1	1	0	1	0	0	0	0	0
PRDM12	1	0	2	0	0	0	0	0
GAD2	1	0	1	0	0	0	0	0
MAP3K11	1	0	1	0	0	0	0	0
DNAJB13	1	0	1	0	0	0	0	0
PRB2	1	1	0	0	1	0	1	0
KCNC2	1	0	1	0	0	0	0	0
KCNJ12	1	0	1	0	0	0	0	0
GDF15	1	0	1	0	0	0	0	0
CD33	1	0	1	0	0	0	0	0
ZFP28	1	0	2	0	0	0	0	0
SLC12A5	1	1	1	1	0	0	0	0
HRH3	2	0	2	0	0	0	0	0
MT1HL1	0	0	0	0	1	0	1	0
ACAP3	0	0	0	0	1	0	1	0
DDOST	0	0	0	0	1	0	1	0
MAGI3	0	0	0	0	1	0	1	0
RTP3	0	0	0	0	1	0	1	0
DNAH1	0	0	0	0	1	0	1	0
STAB1	0	0	1	0	1	0	1	0
C3orf49	0	0	0	0	1	0	1	0
GPR15	0	0	0	0	1	0	1	0
LRBA	0	0	0	0	1	1	1	0
KLHL3	0	0	0	1	1	0	1	0
SLC35D3	0	0	0	0	1	0	1	0
ZNF727	0	0	0	1	1	0	1	0
PARP12	0	0	0	0	1	0	1	0
HAUS6	0	0	0	0	1	0	0	0
PRKACG	0	0	1	0	1	0	1	0
CNTRL	0	0	0	0	1	0	1	0
SARDH	0	0	1	0	1	0	0	0
MS4A4E	0	0	0	1	1	0	0	0
CARNS1	0	0	0	0	1	0	1	0
ATP8A2	0	0	0	0	1	0	1	0
CLCA2	1	1	0	1	0	0	0	0
DNAJC5G	1	0	1	0	0	0	0	0
CHCHD5	1	0	1	0	0	0	0	0
NCKAP5	1	0	1	0	0	0	0	0
C1QTNF7	1	0	1	1	0	0	0	0
PCDHA9	1	0	1	0	0	0	0	0
MAK	1	0	1	0	0	0	0	0
HIST1H1C	1	0	0	0	0	0	0	0
WRN	1	0	1	0	0	0	0	0
USH1C	1	0	2	0	0	0	0	0
ULK2	1	0	1	0	0	0	0	0
LZTR1	1	0	1	0	0	0	0	0
UBR4	0	0	1	1	1	0	1	0
RPIA	0	0	0	0	1	0	1	0
SP140	0	0	0	0	1	0	1	0
CNOT6L	0	0	0	0	1	0	0	0
SIK3	0	0	0	0	1	0	0	0
CHST5	0	0	0	0	1	0	1	0
SLC13A5	0	1	0	0	1	0	0	0
DSG4	0	2	0	2	1	0	1	0
ZNF93	0	0	0	0	1	0	1	0
AVPR1B	0	1	0	1	1	0	0	0
OR2W3	0	0	0	0	1	0	1	0
KDM4C	0	0	0	0	1	0	0	0
C9orf173	0	0	0	0	1	0	0	0
SUV39H2	0	0	0	0	1	0	0	0
HSP90B1	0	0	0	0	1	0	0	0
ACAN	0	1	0	3	1	0	0	0
COIL	0	0	0	0	1	0	0	0
DSC3	0	0	0	1	1	0	0	1
CPAMD8	0	2	0	1	1	0	0	0
ADAM33	0	0	0	0	1	0	0	0
ZNF341	0	1	0	1	1	0	0	0
RHCE	0	0	0	0	1	0	1	0
PRUNE	0	0	1	0	1	0	1	0
KPRP	0	0	0	0	1	0	0	0
KLHL6	0	1	0	1	1	0	1	0
GK2	0	0	0	0	1	0	1	1
METTL14	0	0	0	0	1	0	0	0
CLDN24	0	0	0	0	1	0	0	0
MUT	0	0	0	1	1	0	1	0
GCM1	0	0	0	0	1	0	1	0
TRIM50	0	0	0	0	1	0	1	0
REPIN1	0	0	0	0	1	0	0	0
GIMAP4	1	0	1	0	1	1	1	1
DOCK5	1	1	1	1	1	0	1	0
C10orf118	0	0	0	0	1	0	0	1
CACNA1C	0	0	0	0	1	0	1	0
BRCA2	0	1	0	2	1	0	1	0
KCNK10	0	0	0	1	1	0	1	0
NIPA2	0	0	0	0	1	0	1	0
SHF	0	0	0	0	1	0	1	0
SLC25A18	0	0	0	0	1	0	0	0
HIRA	0	0	0	0	1	0	0	0
CNKSR2	0	1	0	1	1	0	1	0
GABRD	1	0	1	0	0	0	0	0
OR10T2	1	0	0	0	0	0	0	0
KMO	1	0	1	0	0	0	0	0
SCN1A	1	2	1	2	0	0	0	0
NFE2L2	1	0	1	0	0	0	0	0
CCR5	1	0	1	0	0	0	0	0
WBSCR17	1	0	1	0	0	0	0	0
NEFM	1	0	1	0	0	0	0	0
OR4A16	1	0	1	0	0	0	0	0
OR4K13	1	0	1	0	0	0	0	0
DYNC1H1	1	0	2	0	0	0	0	0
PCSK6	1	1	1	1	0	0	0	0
CPPED1	1	0	1	0	0	0	0	0
MYOCD	2	0	2	0	0	0	0	0
ZNF407	1	0	1	0	0	0	0	0
NWD1	1	0	1	0	0	0	0	0
KLHL13	1	0	1	0	0	0	0	0
DCAF12L2	1	0	1	0	0	0	0	0
NCF2	1	0	1	0	0	0	0	0
COL11A1	1	1	0	1	0	0	0	1
SLC6A17	1	0	1	1	0	0	0	0
CHRNG	1	0	1	0	0	0	0	0
SRGAP3	1	0	0	0	0	0	0	0
LINC00955	1	0	0	0	0	0	0	0
PCDHGA9	1	0	1	0	0	0	0	0
MDN1	1	0	1	0	0	0	0	0
C7orf76	1	0	1	0	0	0	0	0
CALML5	1	0	1	0	0	0	0	0
ANTXRL	1	0	1	0	0	0	0	0
SORCS3	1	0	1	1	0	0	0	0
C12orf55	1	1	1	0	0	0	0	0
RIMBP2	1	0	1	1	0	0	0	0
ARL11	1	0	0	0	0	0	0	0
CYP2A13	1	0	0	0	0	0	0	0
PPP1R12C	1	0	1	0	0	0	0	0
PREX1	1	0	1	0	0	0	0	0
GTSE1	1	0	1	0	0	0	0	0
ARID1B	1	1	0	1	0	0	0	0
TRIML1	1	1	1	0	0	0	0	0
RBM15	1	0	1	2	0	0	0	0
ALK	1	0	1	1	0	0	0	0
CAMKV	1	0	1	0	0	0	0	0
APC	1	0	2	0	0	0	0	0
COL1A2	1	0	1	1	0	0	0	0
CCDC136	1	0	1	0	0	0	0	0
ADAM28	1	0	1	0	0	0	0	0
GPR20	1	0	1	0	0	0	0	0
OR10G8	1	0	1	0	0	0	0	0
SLC22A31	1	0	1	1	0	0	0	0
ZFR2	1	1	1	1	0	0	0	0
DPP9	1	0	1	0	0	0	0	0
CEACAM4	1	0	1	0	0	0	0	0
TRPM4	1	0	1	1	0	0	0	0
TTC7A	1	0	0	0	0	0	0	0
SH3BP5	1	0	0	0	0	0	0	0
XCR1	1	0	1	0	0	0	0	0
ROS1	1	0	0	0	0	0	0	0
AKAP9	1	0	2	1	0	0	0	0
EXOC4	1	1	1	1	0	0	0	0
ULK1	1	0	1	0	0	0	0	0
MYO5B	1	0	1	0	0	0	0	0
NPAS1	1	0	1	1	0	0	0	0
FAM230A	1	0	0	0	0	0	0	0
CACNG2	1	0	1	0	0	0	0	0
A4GALT	1	0	0	0	0	0	0	0
GABRA3	1	0	1	0	0	0	0	0
KDM4B	1	0	1	0	0	0	0	0
PCDHB4	1	0	2	0	0	0	0	0
COL3A1	1	1	1	1	0	1	0	0
USP40	1	0	0	1	0	0	0	0
ACTBL2	1	0	0	0	0	0	0	0
ANKDD1B	1	0	0	0	0	0	0	0
CAPN11	1	0	1	1	0	0	0	0
KIAA1244	1	0	2	0	0	0	0	0
TEK	1	0	1	0	0	0	0	0
OR13C8	1	0	1	0	0	1	0	1
DIP2C	1	0	0	0	0	0	0	0
MUC5B	1	1	3	1	0	2	0	2
OR10A4	1	0	0	0	0	0	0	0
AHNAK	1	3	2	1	0	0	0	0
TMEM132D	1	0	0	0	0	0	0	0
JAG2	1	1	1	1	0	0	0	0
MT1B	1	0	1	0	0	0	0	0
SLC13A2	1	0	0	0	0	0	0	0
IGF2BP1	1	0	0	0	0	0	0	0
KLK5	1	1	2	1	0	0	0	0
FAM71E2	1	0	0	0	0	0	0	0
KIAA1009	0	1	0	1	1	0	1	0
NFATC1	0	0	0	0	1	0	1	0
IL2	0	0	0	0	1	0	0	0
FTMT	0	0	0	0	1	0	1	0
TMEM8B	0	0	1	0	1	0	1	0
MAPKAP1	0	0	0	0	1	0	0	0
HYDIN	2	0	0	0	0	2	0	1
ZNF181	1	0	0	1	0	0	0	0
PIWIL3	1	1	0	1	0	0	0	0
YARS	1	0	0	0	0	0	0	0
OTUD7B	1	0	0	0	0	0	0	0
RGPD1	1	0	0	0	0	0	0	0
RANBP2	1	0	0	0	0	0	0	1
ADCY5	1	2	0	1	0	0	0	0
SLC41A3	1	0	0	0	0	0	0	0
TBC1D1	1	0	0	0	0	0	0	0
DSP	1	1	1	2	0	1	0	1
SDR16C5	1	0	0	0	0	0	0	0
ITGB1	1	0	1	0	0	0	0	0
LRRC18	1	0	0	1	0	0	0	0
C10orf54	1	0	0	0	0	0	0	0
NADSYN1	1	0	0	0	0	0	0	0
C12orf44	1	0	0	0	0	0	0	0
ANO4	1	0	0	0	0	0	0	0
SIPA1L1	1	0	0	0	0	0	0	0
SLC12A3	1	0	0	0	0	0	0	0
HERPUD1	1	0	0	0	0	0	0	0
SRSF2	1	0	0	0	0	0	0	0
CCDC94	1	0	0	0	0	0	0	0
FPR3	1	0	0	0	0	0	0	0
HEATR1	1	0	1	0	0	0	0	0
PAFAH2	1	0	1	0	0	0	0	0
SYCP1	1	1	1	1	0	0	0	0
BIRC6	1	0	1	0	0	1	0	0
FBLN2	1	0	1	0	0	0	0	0
SRPK2	1	0	1	0	0	0	0	0
C8orf58	1	0	1	0	0	0	0	0
RIMS2	1	0	1	0	0	0	0	0
TAF1L	1	0	0	0	0	0	0	0
OR5W2	1	0	1	0	0	0	0	0
ALDH3B1	1	0	1	0	0	0	0	0
C1S	1	0	1	0	0	0	0	0
SERPINA1	1	0	1	0	0	0	0	0
AHNAK2	1	0	1	1	0	0	0	0
MYH11	1	1	1	1	0	0	0	0
GNGT2	1	0	1	0	0	0	0	0
ARSD	1	0	1	0	0	0	0	0
TBL1X	1	0	1	0	0	0	0	0
BMP3	1	0	1	0	0	0	0	0
SCUBE1	1	0	1	0	0	0	0	0
FAM131C	1	0	1	0	0	0	0	0
CROCC	1	1	1	0	0	0	0	0
TAS1R2	1	1	1	0	0	0	0	0
OR2T33	1	0	1	0	0	0	0	0
ZNF595	1	1	1	1	0	0	0	0
EVC2	1	0	1	0	0	0	0	0
ADAMTS2	1	0	2	0	0	0	0	0
ANK1	1	0	0	1	0	0	0	0
TRIM49B	1	1	1	0	0	0	0	0
FAT3	1	0	1	1	0	0	0	1
HINFP	1	0	1	0	0	0	0	0
RP11-407N17.3	1	0	0	0	0	0	0	0
KIAA1024	1	1	0	1	0	0	0	0
PTX4	1	0	1	0	0	0	0	0
DLGAP1	1	0	1	0	0	0	0	0
RDH8	1	0	1	0	0	0	0	0
NTSR1	1	1	1	0	0	0	0	0
KIF4B	1	0	1	0	0	0	0	0
USP24	1	1	1	1	0	0	0	0
ADAMTS4	1	0	1	0	0	0	0	0
CR2	1	1	1	1	0	0	0	0
ZDHHC11B	1	0	1	0	0	0	0	0
LARP1	1	0	0	0	0	0	0	0
GRM4	1	0	2	0	0	0	0	0
RP11-1220K2.2	1	2	1	2	0	0	0	0
MS4A7	1	0	1	0	0	0	0	0
PKP2	1	1	1	1	0	0	0	0
IGDCC4	1	0	1	0	0	0	0	0
CLUH	1	0	1	0	0	0	0	0
LGALS16	1	1	1	0	0	0	0	0
PPP1R16B	1	0	2	0	0	0	0	0
EEF1A2	1	0	1	0	0	0	0	0
TDRD5	0	1	0	2	0	0	1	0
CTSE	0	0	0	0	0	0	1	0
OR2T34	0	0	0	0	0	0	1	0
BCL11A	0	0	0	0	0	1	1	0
SCAND3	0	1	0	1	0	0	1	0
CDCA7L	0	0	0	0	0	0	1	0
ZC3HAV1	0	0	0	0	0	0	1	0
ART5	0	0	0	0	0	0	1	0
CCDC175	0	0	0	0	0	0	1	0
NPIPB3	0	0	0	0	0	0	1	0
PSMC3IP	0	0	0	0	0	0	1	0
AP1M1	0	0	0	0	0	0	1	0
ALG12	0	0	1	0	0	0	1	0
MSN	0	0	0	0	0	0	2	0
NLRP3	0	1	1	0	0	0	0	0
MYLK	0	0	1	0	0	0	0	0
GALNT7	0	0	1	0	0	0	0	0
TRIO	0	0	2	2	0	0	0	0
MGAT1	0	0	1	0	0	0	0	0
MCM9	0	0	1	1	0	0	0	0
NT5C3A	0	0	1	0	0	0	0	0
FLNC	0	0	1	1	0	0	0	2
RABEPK	0	0	1	0	0	0	0	0
ITPR2	0	0	1	1	0	0	0	0
EXOC3L4	0	0	1	0	0	0	0	0
TEKT5	0	0	1	1	0	0	0	0
HSH2D	0	0	1	0	0	0	0	0
C20orf194	0	0	1	0	0	0	0	0
FCRLA	0	0	1	0	0	0	0	0
LAMC1	0	0	1	1	0	0	0	0
LAMC2	0	0	1	0	0	0	0	0
RCOR3	0	0	1	0	0	0	0	0
PRAMEF11	0	0	1	0	0	0	0	0
CASP9	0	0	1	0	0	0	0	0
USP48	0	0	1	1	0	0	0	0
SEPN1	0	0	1	0	0	0	0	0
C1orf210	0	0	1	0	0	0	0	0
IL12RB2	0	0	1	1	0	0	0	0
LMO4	0	0	1	0	0	0	0	0
GTF2B	0	0	1	0	0	0	0	0
UBAP2L	0	0	1	0	0	0	0	1
ASH1L	0	0	2	0	0	0	0	0
GREM2	0	0	1	0	0	0	0	0
OR2M2	0	0	1	1	0	0	0	0
FAM168B	0	0	1	0	0	0	0	0
NXPH2	0	0	1	1	0	0	0	0
FMNL2	0	0	1	0	0	0	0	0
SLC25A12	0	0	1	0	0	0	0	0
COL5A2	0	0	1	1	0	0	0	0
SLC11A1	0	0	1	0	0	0	0	0
CHPF	0	0	1	0	0	0	0	0
ATP2B2	0	0	1	0	0	0	0	0
VGLL4	0	0	1	0	0	0	0	0
LIMD1	0	0	1	0	0	0	0	0
TRAIP	0	0	1	0	0	0	1	0
SEMA3F	0	1	1	1	0	0	0	0
DNAH12	0	0	1	1	0	0	0	0
CRYBG3	0	0	1	0	0	0	0	0
KPNA1	0	0	1	0	0	0	0	0
ACAD11	0	0	1	0	0	0	0	0
FAM53A	0	0	1	0	0	0	0	0
TNIP2	0	0	1	0	0	0	0	0
ADD1	0	0	1	1	0	0	0	0
NOA1	0	0	1	0	0	0	0	0
PTPN13	0	0	1	0	0	0	0	0
ANK2	0	0	1	2	0	0	0	0
FAM198B	0	0	1	0	0	0	0	0
CDH9	0	0	1	0	0	0	0	0
AGGF1	0	0	2	0	0	0	0	0
CHSY3	0	0	1	0	0	1	0	1
DIAPH1	0	0	1	0	0	0	0	0
TCERG1	0	0	1	0	0	0	0	0
CNOT8	0	0	1	0	0	0	0	0
TTC1	0	0	1	0	0	0	0	0
LCP2	0	0	1	0	0	0	0	0
GFPT2	0	0	1	0	0	0	0	0
HIVEP1	0	0	1	0	0	0	1	0
GABBR1	0	0	1	0	0	0	0	0
VARS	0	0	1	0	0	0	0	0
PKHD1	0	1	2	2	0	1	0	1
FUCA2	0	0	1	0	0	0	0	0
MLLT4	0	0	1	1	0	0	0	0
MIOS	0	0	1	0	0	0	0	0
POU6F2	0	0	1	0	0	0	0	0
GLI3	0	0	1	1	0	0	0	0
PKD1L1	0	0	1	0	0	0	0	1
NUPR1L	0	0	1	0	0	0	0	0
MLXIPL	0	0	1	0	0	0	0	0
DTX2	0	0	1	0	0	0	0	0
GRM3	0	0	1	0	0	1	0	1
SAMD9L	0	0	1	0	0	0	0	0
GJC3	0	0	1	1	0	0	0	0
BRAF	0	2	1	1	0	0	0	0
TAS2R60	0	0	1	0	0	1	0	1
PDIA4	0	0	1	0	0	0	0	0
KMT2C	0	0	1	0	0	0	0	1
CSMD1	0	0	1	0	0	0	0	0
XKR6	0	0	1	0	0	0	0	0
KAT6A	0	0	1	0	0	0	0	0
ZFAT	0	0	1	0	0	0	0	0
CDKN2A	0	0	1	0	0	0	0	0
VCP	0	0	2	1	0	0	0	0
