id	genes
HALLMARK_MITOTIC_SPINDLE_1	ARHGEF2, CKAP5, PREX1, ARHGEF3, NUMA1, SPTBN1, KIF5B, APC, PAFAH1B1, CDC42EP2, KIF3B, CCDC88A, NF1, TSC1, CNTRL, FGD6, WASF1, KATNB1, ANLN, CDK5RAP2, SMC3, TUBGCP2, MAP1S, ARHGAP27, DOCK4, SAC3D1, ARHGAP5, GSN, NET1, LRPPRC, RABGAP1, FLNB, FGD4, ABR, WASF2, MYH10, KLC1, MARK4, ARL8A, ARHGAP4, CDC42EP4, OPHN1, MAP3K11, ABL1, TIAM1, KIF1B, ITSN1, SHROOM1, NCK2, BCR, EPB41L2, KIF3C, SPTAN1, HOOK3, SUN2, MID1IP1, DLG1, CDC42BPA, NIN, PCM1, EZR, SSH2, RAB3GAP1, FARP1, SYNPO, RHOF, EPB41, RAPGEF6, PCGF5, HDAC6, LLGL1, PCNT, ALMS1, DST, KIFAP3, CLIP2, CAPZB, DOCK2, TUBA4A, ABI1, RICTOR, DYNC1H1, FSCN1, ARHGEF7, DYNLL2, MYO1E, BIN1, RFC1, SORBS2, CDC42EP1, CLIP1, RAPGEF5
HALLMARK_MITOTIC_SPINDLE_2	CLASP1, KIF11, KIF23, ALS2, ARF6, MYO9B, MYH9, TUBGCP3, RACGAP1, KIF2C, TTK, CEP250, KIF15, BIRC5, CNTROB, CDC27, TUBGCP5, KIF4A, MAPRE1, BRCA2, PLK1, RASA1, NEK2, TOP2A, TRIO, ARHGEF11, PRC1, ESPL1, INCENP, ARAP3, CENPJ, NCK1, CENPF, KIF20B, CENPE, CYTH2, MID1, CEP57, UXT, SASS6, LATS1, WASL, SOS1, DLGAP5, RANBP9, SEPTIN9, KATNA1, TUBD1, TPX2, SHROOM2, TUBGCP6, PALLD, ARFIP2, KNTC1, FLNA, ARHGAP10, ARHGEF12, MARCKS, RALBP1, CDK1, ECT2, KIF22, STAU1, ARHGDIA, AURKA, FBXO5, NUSAP1, PXN, BCAR1, CD2AP, AKAP13, CEP131, ATG4B, KPTN, PPP4R2, ARHGAP29, RASAL2, CCNB2, PIF1, RASA2, NEDD9, SMC1A, ACTN4, PKD2, CDC42, NDC80, TLK1, TAOK2, TBCD, CTTN, SMC4, ARFGEF1, LMNB1, ROCK1, CEP192, BUB1, GEMIN4, PLEKHG2, BCL2L11, NOTCH2, PDLIM5, RHOT2, VCL, STK38L, YWHAE, CEP72, CSNK1D
HALLMARK_WNT_BETA_CATENIN_SIGNALING	MYC, CTNNB1, JAG2, NOTCH1, DLL1, AXIN2, PSEN2, FZD1, NOTCH4, LEF1, AXIN1, NKD1, WNT5B, CUL1, JAG1, MAML1, KAT2A, GNAI1, WNT6, PTCH1, NCOR2, DKK4, HDAC2, DKK1, TCF7, WNT1, NUMB, ADAM17, DVL2, PPARD, NCSTN, HDAC5, CCND2, FRAT1, CSNK1E, RBPJ, FZD8, TP53, SKP2, HEY2, HEY1, HDAC11
HALLMARK_WNT_BETA_CATENIN_SIGNALING_1	AXIN2, NKD1, WNT5B, GNAI1, PTCH1, DKK1, TCF7, WNT1, HDAC5, FRAT1, RBPJ, HEY2, HDAC11
HALLMARK_WNT_BETA_CATENIN_SIGNALING_2	MYC, CTNNB1, JAG2, NOTCH1, DLL1, PSEN2, FZD1, NOTCH4, LEF1, AXIN1, CUL1, JAG1, MAML1, KAT2A, WNT6, NCOR2, DKK4, HDAC2, NUMB, ADAM17, DVL2, PPARD, NCSTN, CCND2, CSNK1E, FZD8, TP53, SKP2, HEY1
HALLMARK_TGF_BETA_SIGNALING	TGFBR1, SMAD7, TGFB1, SMURF2, SMURF1, BMPR2, SKIL, SKI, ACVR1, PMEPA1, NCOR2, SERPINE1, JUNB, SMAD1, SMAD6, PPP1R15A, TGIF1, FURIN, SMAD3, FKBP1A, MAP3K7, BMPR1A, CTNNB1, HIPK2, KLF10, BMP2, ENG, APC, PPM1A, XIAP, CDH1, ID1, LEFTY2, CDKN1C, TRIM33, RAB31, TJP1, SLC20A1, CDK9, ID3, NOG, ARID4B, IFNGR2, ID2, PPP1CA, SPTBN1, WWTR1, BCAR3, THBS1, FNTA, HDAC1, UBE2D3, LTBP2, RHOA
HALLMARK_TGF_BETA_SIGNALING_1	TGFBR1, SMAD7, SMAD3, HIPK2, APC, PPM1A, CDH1, LEFTY2, CDKN1C, TJP1, CDK9, NOG, ARID4B, SPTBN1, BCAR3, FNTA
HALLMARK_TGF_BETA_SIGNALING_2	TGFB1, SMURF2, SMURF1, BMPR2, SKIL, SKI, ACVR1, PMEPA1, NCOR2, SERPINE1, JUNB, SMAD1, SMAD6, PPP1R15A, TGIF1, FURIN, FKBP1A, MAP3K7, BMPR1A, CTNNB1, KLF10, BMP2, ENG, XIAP, ID1, TRIM33, RAB31, SLC20A1, ID3, IFNGR2, ID2, PPP1CA, WWTR1, THBS1, HDAC1, UBE2D3, LTBP2, RHOA
HALLMARK_IL6_JAK_STAT3_SIGNALING	IL4R, IL6ST, STAT1, IL1R1, CSF2RB, SOCS3, STAT3, OSMR, IL2RG, IFNGR1, TYK2, IL13RA1, TLR2, IFNGR2, IL10RB, IL6, IL1R2, IL3RA, IFNAR1, TNFRSF1A, MYD88, ACVR1B, CSF3R, ITGB3, REG1A, CXCL1, A2M, CSF2RA, IL15RA, IRF9, PDGFC, HAX1, BAK1, EBI3, INHBE, CRLF2, TNFRSF1B, CD14, PTPN1, PTPN2, IL1B, CSF1, IL18R1, TNF, PF4, CXCL13, LTBR, FAS, IL17RA, CXCL10, IL9R, STAM2, TNFRSF12A, STAT2, HMOX1, LEPR, CBL, CD9, CXCL3, TGFB1, MAP3K8, ITGA4, CD38, JUN, SOCS1, ACVRL1, PIM1, TNFRSF21, PIK3R5, GRB2, IRF1, DNTT, CSF2, IL2RA, PTPN11, IL12RB1, CCR1, CNTFR, PLA2G2A, CXCL9, CD44, IL7, CXCL11, CCL7, LTB, IL17RB, CD36
HALLMARK_IL6_JAK_STAT3_SIGNALING_1	IL6ST, STAT1, CSF2RB, IL2RG, IFNGR1, IL13RA1, TLR2, IL1R2, ACVR1B, CSF3R, IRF9, HAX1, EBI3, CD14, FAS, IL17RA, CXCL10, STAM2, STAT2, CD9, CD38, PIK3R5, GRB2, DNTT, PTPN11, IL12RB1, CCR1, CNTFR, CXCL9, IL7, IL17RB
HALLMARK_IL6_JAK_STAT3_SIGNALING_2	IL4R, IL1R1, SOCS3, STAT3, OSMR, TYK2, IFNGR2, IL10RB, IL6, IL3RA, IFNAR1, TNFRSF1A, MYD88, ITGB3, REG1A, CXCL1, A2M, CSF2RA, IL15RA, PDGFC, BAK1, INHBE, CRLF2, TNFRSF1B, PTPN1, PTPN2, IL1B, CSF1, IL18R1, TNF, PF4, CXCL13, LTBR, IL9R, TNFRSF12A, HMOX1, LEPR, CBL, CXCL3, TGFB1, MAP3K8, ITGA4, JUN, SOCS1, ACVRL1, PIM1, TNFRSF21, IRF1, CSF2, IL2RA, PLA2G2A, CD44, CXCL11, CCL7, LTB, CD36
HALLMARK_DNA_REPAIR	POLR2H, POLR2A, POLR2G, POLR2E, POLR2J, POLR2F, POLR2C, POLR2K, GTF2H3, POLR2D, ERCC3, DDB2, POLR1C, XPC, PCNA, POLR2I, SUPT4H1, POLD3, POLR3GL, POLR3C, GTF2B, POLR1D, NCBP2, NELFE, GTF2F1, ERCC5, LIG1, ERCC1, ERCC4, POLD4, NELFB, RFC2, ELL, TAF10, RRM2B, SUPT5H, RPA3, SNAPC5, SSRP1, RFC3, RPA2, ELOA, TAF12, NELFCD, TAF13, TAF6, TAF9, GTF2A2, VPS37D, NME1, RNMT, ERCC2, POLE4, VPS37B, NT5C3A, SNAPC4, AAAS, POLR1H, RFC4, ITPA, POM121, BRF2, RFC5, SAC3D1, CLP1, NME4, PRIM1, VPS28, TSG101, USP11, TAF1C, TARBP2, POLH, CETN2, POLD1, CANT1, PDE4B, DGCR8, RAD51, SURF1, PNP, ADA, NME3, GTF3C5, NT5C, AK1, GTF2H1, HCLS1, APRT, ERCC8, IMPDH2, POLB, SDCBP, SF3A3, DAD1, UPF3B, GUK1, TP53, ADRM1, SEC61A1, POLA2, FEN1, ZNF707, NUDT9, PDE6G, TYMS, BCAP31, DDB1, NFX1, RAD52, ADCY6, ARL6IP1, DGUOK, POLL, SMAD5, MPG, DUT, POLA1, AGO4, RALA, ZWINT, BCAM, TK2, CSTF3, GTF2H5, HPRT1, BOLA2, GPX4, MPC2, CDA, ALYREF, MRPL40, NPR2, REV3L, EDF1, GSDME, TMED2, STX3, RAE1, UMPS, EIF1B, AK3, NUDT21, RBX1, SRSF6, GMPR2, DCTN4, COX17, CMPK2, CCNO
HALLMARK_DNA_REPAIR_1	POLR2A, POLR2E, POLR2F, POLR2K, XPC, POLR2I, SUPT4H1, GTF2F1, ERCC5, POLD4, RRM2B, SUPT5H, SNAPC5, POLE4, BRF2, SAC3D1, VPS28, USP11, CETN2, ADA, NME3, GTF3C5, NT5C, AK1, HCLS1, POLB, GUK1, PDE6G, DDB1, NFX1, POLL, DUT, TK2, GTF2H5, HPRT1, GPX4, MPC2, MRPL40, REV3L, EDF1, STX3, EIF1B, AK3, RBX1, GMPR2, DCTN4, COX17, CMPK2, CCNO
HALLMARK_DNA_REPAIR_2	POLR2H, POLR2G, POLR2J, POLR2C, GTF2H3, POLR2D, ERCC3, DDB2, POLR1C, PCNA, POLD3, POLR3GL, POLR3C, GTF2B, POLR1D, NCBP2, NELFE, LIG1, ERCC1, ERCC4, NELFB, RFC2, ELL, TAF10, RPA3, SSRP1, RFC3, RPA2, ELOA, TAF12, NELFCD, TAF13, TAF6, TAF9, GTF2A2, VPS37D, NME1, RNMT, ERCC2, VPS37B, NT5C3A, SNAPC4, AAAS, POLR1H, RFC4, ITPA, POM121, RFC5, CLP1, NME4, PRIM1, TSG101, TAF1C, TARBP2, POLH, POLD1, CANT1, PDE4B, DGCR8, RAD51, SURF1, PNP, GTF2H1, APRT, ERCC8, IMPDH2, SDCBP, SF3A3, DAD1, UPF3B, TP53, ADRM1, SEC61A1, POLA2, FEN1, ZNF707, NUDT9, TYMS, BCAP31, RAD52, ADCY6, ARL6IP1, DGUOK, SMAD5, MPG, POLA1, AGO4, RALA, ZWINT, BCAM, CSTF3, BOLA2, CDA, ALYREF, NPR2, GSDME, TMED2, RAE1, UMPS, NUDT21, SRSF6
HALLMARK_G2M_CHECKPOINT	AURKA, CCNA2, TOP2A, CCNB2, CENPA, BIRC5, CDC20, PLK1, TTK, PRC1, NDC80, KIF11, NUSAP1, CKS2, KIF2C, MKI67, AURKB, TPX2, SMC4, BUB1, CENPF, RACGAP1, CENPE, KIF23, UBE2C, MCM6, MCM3, PTTG1, CDK1, KIF4A, ESPL1, MAD2L1, NEK2, KIF22, HMMR, KPNA2, CDKN3, CDC25A, H2AX, CDC25B, PLK4, CDC6, CCNF, MCM5, LMNB1, E2F3, KIF15, CHEK1, UBE2S, NSD2, HMGB3, DBF4, TACC3, MCM2, CDKN2C, CDKN1B, FANCC, NASP, STAG1, GINS2, FBXO5, POLQ, EZH2, RAD21, STMN1, SUV39H1, PRIM2, E2F1, CHAF1A, NOLC1, GSPT1, BUB3, SMC1A, ILF3, CDC7, INCENP, CKS1B, EXO1, H2AZ1, TFDP1, CCND1, KPNB1, JPT1, LBR, HUS1, KIF20B, TOP1, PDS5B, SRSF1, STIL, ABL1, DTYMK, CDC27, BARD1, ATF5, CDC45, ODC1, XPO1, SFPQ, TMPO, PML, BRCA2, CTCF, KNL1, KMT5A, SLC38A1, TRA2B, MYBL2, TROAP, TENT4A, CUL3, MAPK14, H2BC12, MYC, AMD1, CBX1, CHMP1A, DKC1, YTHDC1, CCNT1, TGFB1, ATRX, LIG3, NUP50, SLC7A5, RBL1, NUMA1, RAD54L, EFNA5, PRPF4B, UCK2, ARID4A, CUL1, UPF1, DR1, MNAT1, SMC2, RBM14, RPA2, SQLE, ORC6, CDK4, POLE, RASAL2, HOXC10, RPS6KA5, CUL4A, SLC7A1, FOXN3, HMGA1, SS18, TRAIP, PRMT5, CUL5, DDX39A, MARCKS, PBK, ORC5, SAP30, KATNA1, HNRNPD, POLA2, HIRA, HIF1A, SYNCRIP, TLE3, NCL, RAD23B, E2F2, EGF, HMGN2, SRSF10, SNRPD1, CASP8AP2, SMARCC1, SLC12A2, NOTCH2, TNPO2, SMAD3, MAP3K20, HSPA8, G3BP1, PTTG3P, DMD, MEIS1, HNRNPU, SRSF2, MT2A, NUP98, EWSR1, KIF5B, MTF2, E2F4, BCL3, PURA, MEIS2, PAFAH1B1, WRN, H2AZ2, ODF2
HALLMARK_G2M_CHECKPOINT_1	CDKN1B, RAD21, STMN1, NOLC1, CCND1, ABL1, SLC38A1, AMD1, CBX1, CHMP1A, YTHDC1, ATRX, NUMA1, EFNA5, ARID4A, HOXC10, RPS6KA5, FOXN3, TLE3, EGF, SLC12A2, TNPO2, SMAD3, MEIS1, KIF5B, PURA, PAFAH1B1
