id	genes
BIOCARTA_EGFR_SMRTE_PATHWAY	THRA, NCOR2, MAP2K1, THRB, EGF, MAPK14, EGFR, RXRA, ZBTB16, MAP3K1, RARA
BIOCARTA_EGFR_SMRTE_PATHWAY_1	THRA, MAP2K1, THRB, EGF, RXRA, ZBTB16
BIOCARTA_EGFR_SMRTE_PATHWAY_2	NCOR2, MAPK14, EGFR, MAP3K1, RARA
BIOCARTA_MONOCYTE_PATHWAY	SELP, SELE, ITGAM, ITGAL, ITGB2, PECAM1, ITGA4, CD44, ICAM1, ITGB1, SELL
BIOCARTA_MONOCYTE_PATHWAY_1	SELP, ITGAM, ITGAL, ITGB2, PECAM1, SELL
BIOCARTA_MONOCYTE_PATHWAY_2	SELE, ITGA4, CD44, ICAM1, ITGB1
BIOCARTA_RARRXR_PATHWAY	NCOR2, KAT2B, TBP, RXRA, GTF2A1, NCOA1, RARA
BIOCARTA_RARRXR_PATHWAY_1	KAT2B, RXRA, NCOA1
BIOCARTA_RARRXR_PATHWAY_2	NCOR2, TBP, GTF2A1, RARA
BIOCARTA_NUCLEARRS_PATHWAY	CYP2B6, CYP1A2, RARG, CYP4A11, NR1I2, CYP2E1, CYP24A1, PPARA, ABCD2, ABCG1, ABCG5, CYP26A1, PPARG, CYP2C9, NR1H4, NR1I3, ABCC2, NR0B2, CYP4B1, NR1H3, CYP8B1, ABCC3, ABCB1, VDR, CYP27B1, ABCB4, RARB, RARA, ABCB11, ABCA1, PPARD, ABCD3, CYP4A22, CYP3A4
BIOCARTA_NUCLEARRS_PATHWAY_1	CYP4A11, NR1I2, CYP2E1, PPARA, ABCD2, ABCG1, ABCG5, CYP26A1, PPARG, CYP2C9, NR1H4, NR1I3, ABCC2, CYP4B1, NR1H3, CYP8B1, RARB, ABCB11, ABCA1, CYP4A22, CYP3A4
BIOCARTA_NUCLEARRS_PATHWAY_2	CYP2B6, CYP1A2, RARG, CYP24A1, NR0B2, ABCC3, ABCB1, VDR, CYP27B1, ABCB4, RARA, PPARD, ABCD3
BIOCARTA_RANMS_PATHWAY	RAN, RANBP1, RANGAP1, TPX2, AURKA, NUMA1, RCC1, KPNB1, KPNA2, KIF15
BIOCARTA_RANMS_PATHWAY_1	RANGAP1, NUMA1
BIOCARTA_RANMS_PATHWAY_2	RAN, RANBP1, TPX2, AURKA, RCC1, KPNB1, KPNA2, KIF15
BIOCARTA_TEL_PATHWAY	PPP2CA, BCL2, MYC, XRCC6, TNKS, XRCC5, RB1, TP53, TERF1, EGFR, TERT, KRAS, TEP1, HSP90AA1, AKT1, PRKCA, IGF1R
BIOCARTA_TEL_PATHWAY_1	BCL2, PRKCA, IGF1R
BIOCARTA_TEL_PATHWAY_2	PPP2CA, MYC, XRCC6, TNKS, XRCC5, RB1, TP53, TERF1, EGFR, TERT, KRAS, TEP1, HSP90AA1, AKT1
BIOCARTA_SARS_PATHWAY	ANPEP, NCL, GPT, EIF4E, FBL, CKM, MAPK14
BIOCARTA_SARS_PATHWAY_1	GPT, EIF4E
BIOCARTA_SARS_PATHWAY_2	ANPEP, NCL, FBL, CKM, MAPK14
BIOCARTA_PDZS_PATHWAY	ACTA1, PCLO, NFASC, EPB41, ADD1, DLG1, DLG2, NRXN3, SPTAN1, GUK1, DLG4, CASK, SPTBN1, NCAM1, GRIN1, ANK1, DLG3
BIOCARTA_PDZS_PATHWAY_1	PCLO, NFASC, EPB41, ADD1, DLG1, DLG2, NRXN3, SPTAN1, GUK1, DLG4, SPTBN1, NCAM1, GRIN1, ANK1, DLG3
BIOCARTA_PDZS_PATHWAY_2	ACTA1, CASK
BIOCARTA_RACC_PATHWAY	GUCY1A1, GUCY1A2, GUCY1B1, GNAS, TRPC3, KCNQ2, ADCY1, TRPC4, KCNQ3, GUCY1B2, KCNQ5, KCNQ4, TRPV4, NOS3, TRPC5
BIOCARTA_RACC_PATHWAY_1	GUCY1A1, GUCY1B1, GNAS, KCNQ2, ADCY1, KCNQ3, KCNQ5, KCNQ4, TRPV4, NOS3, TRPC5
BIOCARTA_RACC_PATHWAY_2	GUCY1A2, TRPC3, TRPC4, GUCY1B2
BIOCARTA_EICOSANOID_PATHWAY	PTGER2, ALOX5, EPHX1, HPGDS, PTGES, CYP2J2, PTGER1, PTGS2, PTGER4, PTGS1, EPHX2, CYSLTR2, PTGIS, PLCB1, TBXA2R, PTGER3, PTGIR, PLA2G4A, ALOX5AP, TBXAS1, PTGFR, CYSLTR1
BIOCARTA_EICOSANOID_PATHWAY_1	PTGER2, EPHX1, HPGDS, CYP2J2, EPHX2, PLCB1, PTGER3, TBXAS1, PTGFR, CYSLTR1
BIOCARTA_EICOSANOID_PATHWAY_2	ALOX5, PTGES, PTGER1, PTGS2, PTGER4, PTGS1, CYSLTR2, PTGIS, TBXA2R, PTGIR, PLA2G4A, ALOX5AP
BIOCARTA_CHREBP_PATHWAY	PRKAA1, PRKAB2, PPP2CA, GNAS, PRKACG, ADCY1, PRKAR1A, ACSM1, PRKAR2B, PRKAA2, PRKACB, PRKAR1B, PRKAG1, PRKAG3, PRKAR2A, MLXIPL, PRKAG2, ACSBG1, PRKAB1
BIOCARTA_CHREBP_PATHWAY_1	GNAS, ADCY1, PRKAR1A, ACSM1, PRKAR2B, PRKAA2, PRKACB, PRKAR1B, PRKAG3, MLXIPL, PRKAG2, ACSBG1
BIOCARTA_CHREBP_PATHWAY_2	PRKAA1, PRKAB2, PPP2CA, PRKACG, PRKAG1, PRKAR2A, PRKAB1
BIOCARTA_LIS1_PATHWAY	DYNLL1, DCX, PAFAH1B1, DCTN6, DNAH6, LRP8, DNAH2, NDEL1, ABL1, CDK5R1, DCTN3, DCTN1, DNAH8, CLIP1, DNAH3, CSNK2A1, CDK5, DNAH1, RELN
BIOCARTA_LIS1_PATHWAY_1	DYNLL1, DCX, PAFAH1B1, DCTN6, DNAH6, DNAH2, ABL1, CDK5R1, DCTN3, DCTN1, DNAH8, CLIP1, DNAH3, CDK5, DNAH1, RELN
BIOCARTA_LIS1_PATHWAY_2	LRP8, NDEL1, CSNK2A1
BIOCARTA_HSWI_SNF_PATHWAY	SMARCD1, NF1, NR3C1, SMARCC2, SMARCA4, ARID1A, SMARCC1, ACTB, SMARCB1, TBP, GTF2A1, SMARCE1
BIOCARTA_HSWI_SNF_PATHWAY_1	NF1, NR3C1, SMARCC2
BIOCARTA_HSWI_SNF_PATHWAY_2	SMARCD1, SMARCA4, ARID1A, SMARCC1, ACTB, SMARCB1, TBP, GTF2A1, SMARCE1
BIOCARTA_PCAF_PATHWAY	IRF3, IRF7, IRF4, HMGB1, IRF1, CREBBP, RELA, IRF5, KAT2B, ATF2, NFKB1, IRF2, JUN
BIOCARTA_PCAF_PATHWAY_1	IRF4, IRF5, KAT2B, IRF2
BIOCARTA_PCAF_PATHWAY_2	IRF3, IRF7, HMGB1, IRF1, CREBBP, RELA, ATF2, NFKB1, JUN
BIOCARTA_LYMPHOCYTE_PATHWAY	SELE, ITGAL, ITGB2, PECAM1, ITGA4, CD44, ICAM1, ITGB1, SELL
BIOCARTA_LYMPHOCYTE_PATHWAY_1	ITGAL, ITGB2, PECAM1, SELL
BIOCARTA_LYMPHOCYTE_PATHWAY_2	SELE, ITGA4, CD44, ICAM1, ITGB1
BIOCARTA_AMAN_PATHWAY	FUT7, MAN2C1, FUT9, MAN1A1, MAN2A2, MAN1C1, ST8SIA4, MAN2B1, FUT4, MAN1A2, B3GALT2, ST3GAL4, FUT5, FUT6, B3GALT1
BIOCARTA_AMAN_PATHWAY_1	FUT7, FUT9, MAN1A1, MAN2A2, MAN1C1, FUT4, B3GALT2, ST3GAL4, B3GALT1
BIOCARTA_AMAN_PATHWAY_2	MAN2C1, ST8SIA4, MAN2B1, MAN1A2, FUT5, FUT6
BIOCARTA_NEUTROPHIL_PATHWAY	SELE, ITGAM, ITGAL, ITGB2, PECAM1, CD44, ICAM1, SELL
BIOCARTA_NEUTROPHIL_PATHWAY_1	ITGAM, ITGAL, ITGB2, PECAM1, SELL
BIOCARTA_NEUTROPHIL_PATHWAY_2	SELE, CD44, ICAM1
BIOCARTA_EFP_PATHWAY	CDK2, CCNB1, CDK4, CDK6, CDK7, SMURF1, CCNB2, ESR1, CDK8, TP53, SMURF2, SFN, TRIM25, CDK5, CDK3, CDK1
BIOCARTA_EFP_PATHWAY_1	CDK7, ESR1, CDK8, SFN, CDK5
BIOCARTA_EFP_PATHWAY_2	CDK2, CCNB1, CDK4, CDK6, SMURF1, CCNB2, TP53, SMURF2, TRIM25, CDK3, CDK1
BIOCARTA_CREM_PATHWAY	FSHR, FSHB, ADCY1, CREM, XPO1, FHL5
BIOCARTA_CREM_PATHWAY_1	FSHR, ADCY1
BIOCARTA_CREM_PATHWAY_2	FSHB, CREM, XPO1, FHL5
BIOCARTA_ERAD_PATHWAY	MAN2C1, MAN1A1, MAN2A2, FBXO2, CUL1, SKP1, MAN1C1, EDEM1, UBE2I, MAN2B1, MAN1A2, RBX1, SAE1, MOGS, SEC61A1, CANX, GANAB, UBA2, UGGT1
BIOCARTA_ERAD_PATHWAY_1	MAN1A1, MAN2A2, FBXO2, SKP1, MAN1C1, RBX1
BIOCARTA_ERAD_PATHWAY_2	MAN2C1, CUL1, EDEM1, UBE2I, MAN2B1, MAN1A2, SAE1, MOGS, SEC61A1, CANX, GANAB, UBA2, UGGT1
BIOCARTA_BTG2_PATHWAY	NGF, PRMT1, CHAF1B, CHAF1A, BTG1, RB1, TP53, HOXB9, FGF1, BTG2, CCND1
BIOCARTA_BTG2_PATHWAY_1	NGF, HOXB9, FGF1, CCND1
BIOCARTA_BTG2_PATHWAY_2	PRMT1, CHAF1B, CHAF1A, BTG1, RB1, TP53, BTG2
BIOCARTA_TERT_PATHWAY	HDAC1, MYC, MAX, MZF1, TP53, SP3, WT1, SP1
BIOCARTA_TERT_PATHWAY_1	WT1
BIOCARTA_TERT_PATHWAY_2	HDAC1, MYC, MAX, MZF1, TP53, SP3, SP1
BIOCARTA_GHRELIN_PATHWAY	IGFALS, SST, GHRH, IGF1, RAPGEF5, IGFBP6, IGFBP2, IGFBP3, IGFBP4, GHRL, IGFBP5, IGFBP1, GH1
BIOCARTA_GHRELIN_PATHWAY_1	IGFALS, SST, IGF1, RAPGEF5, IGFBP6, GHRL
BIOCARTA_GHRELIN_PATHWAY_2	GHRH, IGFBP2, IGFBP3, IGFBP4, IGFBP5, IGFBP1, GH1
BIOCARTA_VOBESITY_PATHWAY	ADIPOQ, NR3C1, PPARG, LPL, HSD11B1, TNF, RETN, RXRA
BIOCARTA_VOBESITY_PATHWAY_1	NR3C1, PPARG, HSD11B1, RXRA
BIOCARTA_VOBESITY_PATHWAY_2	ADIPOQ, LPL, TNF, RETN
BIOCARTA_ERBB3_PATHWAY	ERBB3, UBE2D1, EGF, NRG1, EGFR
BIOCARTA_ERBB3_PATHWAY_1	ERBB3, UBE2D1, EGF, NRG1
BIOCARTA_ERBB3_PATHWAY_2	EGFR
BIOCARTA_CTBP1_PATHWAY	SUMO1, ZEB1, CTBP1, UBE2I, CDH1, SAE1, UBA2, NOS1
BIOCARTA_CTBP1_PATHWAY_1	CDH1, NOS1
BIOCARTA_CTBP1_PATHWAY_2	SUMO1, ZEB1, CTBP1, UBE2I, SAE1, UBA2
BIOCARTA_PRION_PATHWAY	APLP1, BCL2, NFE2L2, LAMA1, RPSA, PRNP, GFAP, DNAJB1, DNAJB6, LAMC1, LAMB1, HSPA5
BIOCARTA_PRION_PATHWAY_1	APLP1, BCL2, PRNP, GFAP
BIOCARTA_PRION_PATHWAY_2	NFE2L2, LAMA1, RPSA, DNAJB1, DNAJB6, LAMC1, LAMB1, HSPA5
BIOCARTA_PLK3_PATHWAY	CDC25C, CHEK1, YWHAH, ATR, CHEK2, ATM, TP53, PLK3
BIOCARTA_PLK3_PATHWAY_1	YWHAH, ATM
BIOCARTA_PLK3_PATHWAY_2	CDC25C, CHEK1, ATR, CHEK2, TP53, PLK3
BIOCARTA_FXR_PATHWAY	LDLR, NR1H4, NR0B2, NR1H3, FABP6, RXRA, ABCA1
BIOCARTA_FXR_PATHWAY_1	NR1H4, NR1H3, FABP6, RXRA, ABCA1
BIOCARTA_FXR_PATHWAY_2	LDLR, NR0B2
BIOCARTA_MHC_PATHWAY	TAP2, PSMB6, PSMB8, HLA-A, TAP1, PSMB5, CD74, HLA-DRA, B2M, HLA-DRB5, PSMB9, HLA-DRB1, HLA-DRB4, HLA-DRB3
BIOCARTA_MHC_PATHWAY_1	TAP2, PSMB6, PSMB5, CD74, HLA-DRB5, HLA-DRB1, HLA-DRB4, HLA-DRB3
BIOCARTA_MHC_PATHWAY_2	PSMB8, HLA-A, TAP1, HLA-DRA, B2M, PSMB9
BIOCARTA_ACETAMINOPHEN_PATHWAY	CYP1A2, CYP2E1, PTGS2, PTGS1, NR1I3
BIOCARTA_ACETAMINOPHEN_PATHWAY_1	CYP2E1, NR1I3
BIOCARTA_ACETAMINOPHEN_PATHWAY_2	CYP1A2, PTGS2, PTGS1
BIOCARTA_PRC2_PATHWAY	HDAC2, RBBP4, HDAC1, EZH1, PHC1, BMI1, COMMD3-BMI1, YY1, EZH2, SUZ12, RBBP7, EED, RING1, CBX4
BIOCARTA_PRC2_PATHWAY_1	EZH1, BMI1, CBX4
BIOCARTA_PRC2_PATHWAY_2	HDAC2, RBBP4, HDAC1, PHC1, COMMD3-BMI1, YY1, EZH2, SUZ12, RBBP7, EED, RING1
BIOCARTA_SM_PATHWAY	SNRPC, SNRPB, SNRPF, SNRPB2, SNRPE, SNRPD3, U2AF1, SNRPD1, SNRPG, SNRPA, SNRNP70, SNRPD2, SNRPA1, SRSF2
BIOCARTA_SM_PATHWAY_1	
BIOCARTA_SM_PATHWAY_2	SNRPC, SNRPB, SNRPF, SNRPB2, SNRPE, SNRPD3, U2AF1, SNRPD1, SNRPG, SNRPA, SNRNP70, SNRPD2, SNRPA1, SRSF2
BIOCARTA_RANBP2_PATHWAY	HDAC6, RAN, HDAC4, SUMO1, HDAC1, PIAS1, RANGAP1, HDAC9, RANBP2, MDM2, PIAS2
BIOCARTA_RANBP2_PATHWAY_1	HDAC6, HDAC4, PIAS1, RANGAP1, HDAC9, RANBP2
BIOCARTA_RANBP2_PATHWAY_2	RAN, SUMO1, HDAC1, MDM2, PIAS2
BIOCARTA_IRES_PATHWAY	EIF4A1, EIF4G2, EIF4E, EIF4G1, EIF4G3, EIF4A2, EIF3A
BIOCARTA_IRES_PATHWAY_1	EIF4E, EIF4A2, EIF3A
BIOCARTA_IRES_PATHWAY_2	EIF4A1, EIF4G2, EIF4G1, EIF4G3
BIOCARTA_PLC_PATHWAY	PIK3CG, VAV1, PIK3R1, PLCG1, PLCB1, PRKCB, AKT1, PRKCA, PIK3CA
BIOCARTA_PLC_PATHWAY_1	VAV1, PIK3R1, PLCB1, PRKCB, PRKCA
BIOCARTA_PLC_PATHWAY_2	PIK3CG, PLCG1, AKT1, PIK3CA
BIOCARTA_BBCELL_PATHWAY	FASLG, FAS, CD28, CD40, HLA-DRA, HLA-DRB5, CD40LG, CD4, HLA-DRB1, HLA-DRB4, HLA-DRB3
BIOCARTA_BBCELL_PATHWAY_1	FASLG, FAS, CD28, HLA-DRB5, CD40LG, CD4, HLA-DRB1, HLA-DRB4, HLA-DRB3
BIOCARTA_BBCELL_PATHWAY_2	CD40, HLA-DRA
BIOCARTA_CDC25_PATHWAY	CDC25C, CHEK1, CDC25B, YWHAH, WEE1, MYT1, ATM, CDC25A, CDK1
BIOCARTA_CDC25_PATHWAY_1	YWHAH, ATM
BIOCARTA_CDC25_PATHWAY_2	CDC25C, CHEK1, CDC25B, WEE1, MYT1, CDC25A, CDK1
BIOCARTA_DSP_PATHWAY	MAPK3, DUSP2, DUSP8, MAPK8, DUSP1, DUSP6, DUSP4, MAPK14, DUSP9
BIOCARTA_DSP_PATHWAY_1	MAPK3, DUSP2, MAPK8, DUSP9
BIOCARTA_DSP_PATHWAY_2	DUSP8, DUSP1, DUSP6, DUSP4, MAPK14
BIOCARTA_NPC_PATHWAY	RAN, RANGAP1, RANBP2, NUTF2, RCC1, NUP210, KPNB1, NUP62, KPNA2, NUP153, NUP214
BIOCARTA_NPC_PATHWAY_1	RANGAP1, RANBP2
BIOCARTA_NPC_PATHWAY_2	RAN, NUTF2, RCC1, NUP210, KPNB1, NUP62, KPNA2, NUP153, NUP214
BIOCARTA_FLUMAZENIL_PATHWAY	GABRA5, GPX1, GABRA6, GABRA2, GABRA3, GABRA1, GABRA4, SOD1, PRKCE
BIOCARTA_FLUMAZENIL_PATHWAY_1	GABRA5, GPX1, GABRA6, GABRA2, GABRA3, GABRA1, GABRA4, SOD1, PRKCE
BIOCARTA_FLUMAZENIL_PATHWAY_2	
BIOCARTA_MELANOCYTE_PATHWAY	KITLG, RPS6KA1, BCL2, MITF, KIT, CREB1, EP300
BIOCARTA_MELANOCYTE_PATHWAY_1	BCL2, MITF, KIT
BIOCARTA_MELANOCYTE_PATHWAY_2	KITLG, RPS6KA1, CREB1, EP300
BIOCARTA_S1P_PATHWAY	MBTPS1, LDLR, HMGCS1, SREBF2, MBTPS2, LIMA1, SCAP, SREBF1
BIOCARTA_S1P_PATHWAY_1	SREBF2, SCAP, SREBF1
BIOCARTA_S1P_PATHWAY_2	MBTPS1, LDLR, HMGCS1, MBTPS2, LIMA1
BIOCARTA_HBX_PATHWAY	HRAS, SHC1, LAMTOR5, GRB2, PTK2B, CREB1, SOS1
BIOCARTA_HBX_PATHWAY_1	GRB2, PTK2B
BIOCARTA_HBX_PATHWAY_2	HRAS, SHC1, LAMTOR5, CREB1, SOS1
BIOCARTA_MALATEX_PATHWAY	ME1, PC, SLC25A1, SLC25A11, ACLY, MDH1, PDHA1, CS
BIOCARTA_MALATEX_PATHWAY_1	ME1, PC, SLC25A1, SLC25A11, MDH1, PDHA1
BIOCARTA_MALATEX_PATHWAY_2	ACLY, CS
BIOCARTA_TSP1_PATHWAY	CD36, CASP3, THBS1, FYN, MAPK14, JUN, FOS
BIOCARTA_TSP1_PATHWAY_1	
BIOCARTA_TSP1_PATHWAY_2	CD36, CASP3, THBS1, FYN, MAPK14, JUN, FOS
BIOCARTA_NPP1_PATHWAY	SPP1, COL4A1, ALPL, COL4A6, COL4A5, COL4A2, IBSP, ENPP1, COL4A3, COL4A4
BIOCARTA_NPP1_PATHWAY_1	SPP1, ALPL, COL4A5, COL4A3, COL4A4
BIOCARTA_NPP1_PATHWAY_2	COL4A1, COL4A6, COL4A2, IBSP, ENPP1
BIOCARTA_CPSF_PATHWAY	CSTF3, CSTF2, CSTF1, PAPOLA, CPSF4, CPSF1, CPSF3, CPSF2, PABPN1, BCL2L2-PABPN1
BIOCARTA_CPSF_PATHWAY_1	BCL2L2-PABPN1
BIOCARTA_CPSF_PATHWAY_2	CSTF3, CSTF2, CSTF1, PAPOLA, CPSF4, CPSF1, CPSF3, CPSF2, PABPN1
BIOCARTA_HES_PATHWAY	FZD1, HEY2, WNT1, HES1, DLL1, HES7, GSK3B, RBPJ, NOTCH2, NOTCH1, HNF1A, DVL1
BIOCARTA_HES_PATHWAY_1	HEY2, WNT1, RBPJ, HNF1A
BIOCARTA_HES_PATHWAY_2	FZD1, HES1, DLL1, HES7, GSK3B, NOTCH2, NOTCH1, DVL1
BIOCARTA_ERBB4_PATHWAY	PSEN1, NRG3, ERBB4, ADAM17, NRG2, PRKCB, PRKCA
BIOCARTA_ERBB4_PATHWAY_1	PSEN1, NRG3, ERBB4, NRG2, PRKCB, PRKCA
BIOCARTA_ERBB4_PATHWAY_2	ADAM17
BIOCARTA_RHODOPSIN_PATHWAY	SAG, RCVRN, GUCA1A, SLC25A22, GRK1, RHO, SLC25A18, PDE6A, PDE6B, PDE6G
BIOCARTA_RHODOPSIN_PATHWAY_1	RCVRN, GRK1, RHO, SLC25A18, PDE6B, PDE6G
BIOCARTA_RHODOPSIN_PATHWAY_2	SAG, GUCA1A, SLC25A22, PDE6A
BIOCARTA_RNAPOL3_PATHWAY	GTF3C1, BRF1, GTF3C3, GTF3C5, TBP, SSB, GTF3C4
BIOCARTA_RNAPOL3_PATHWAY_1	BRF1, GTF3C5
BIOCARTA_RNAPOL3_PATHWAY_2	GTF3C1, GTF3C3, TBP, SSB, GTF3C4
BIOCARTA_TERC_PATHWAY	NFYA, NFYB, RB1, SP3, SP1, NFYC
BIOCARTA_TERC_PATHWAY_1	NFYB
BIOCARTA_TERC_PATHWAY_2	NFYA, RB1, SP3, SP1, NFYC
BIOCARTA_EOSINOPHILS_PATHWAY	IL3, CSF2, IL5, CCL11, CCR3, CCL5, HLA-DRA, HLA-DRB5, HLA-DRB1, HLA-DRB4, HLA-DRB3
BIOCARTA_EOSINOPHILS_PATHWAY_1	IL5, CCR3, CCL5, HLA-DRB5, HLA-DRB1, HLA-DRB4, HLA-DRB3
BIOCARTA_EOSINOPHILS_PATHWAY_2	IL3, CSF2, CCL11, HLA-DRA
BIOCARTA_REELIN_PATHWAY	LRP8, VLDLR, FYN, DAB1, CDK5R1, CDK5, RELN
BIOCARTA_REELIN_PATHWAY_1	VLDLR, DAB1, CDK5R1, CDK5, RELN
BIOCARTA_REELIN_PATHWAY_2	LRP8, FYN
BIOCARTA_BARD1_PATHWAY	BRCA1, FANCD2, FANCA, FANCE, FANCC, FANCG, BARD1, FANCF
BIOCARTA_BARD1_PATHWAY_1	
BIOCARTA_BARD1_PATHWAY_2	BRCA1, FANCD2, FANCA, FANCE, FANCC, FANCG, BARD1, FANCF
BIOCARTA_LDL_PATHWAY	CSF1, LPL, LDLR, ACAT1, CCL2, IL6
BIOCARTA_LDL_PATHWAY_1	ACAT1
BIOCARTA_LDL_PATHWAY_2	CSF1, LPL, LDLR, CCL2, IL6
BIOCARTA_SAM68_PATHWAY	MAPK3, HRAS, MAPK1, KHDRBS1, RASA1, CDK1
BIOCARTA_SAM68_PATHWAY_1	MAPK3, MAPK1
BIOCARTA_SAM68_PATHWAY_2	HRAS, KHDRBS1, RASA1, CDK1
BIOCARTA_FBW7_PATHWAY	CDK2, TFDP1, CUL1, SKP1, CCNE1, RB1, CDC34, FBXW7, E2F1
BIOCARTA_FBW7_PATHWAY_1	SKP1, FBXW7
BIOCARTA_FBW7_PATHWAY_2	CDK2, TFDP1, CUL1, CCNE1, RB1, CDC34, E2F1
BIOCARTA_CB1R_PATHWAY	CNR2, CNR1, PLD2, PLD3, BAAT, PLD1, FAAH
BIOCARTA_CB1R_PATHWAY_1	PLD2, PLD3, BAAT, PLD1, FAAH
BIOCARTA_CB1R_PATHWAY_2	CNR2, CNR1
BIOCARTA_SUMO_PATHWAY	SUMO1, UBE2I, SUMO2, SUMO3, SAE1, UBA2
BIOCARTA_SUMO_PATHWAY_1	
BIOCARTA_SUMO_PATHWAY_2	SUMO1, UBE2I, SUMO2, SUMO3, SAE1, UBA2
BIOCARTA_IFNA_PATHWAY	IRF9, IFNA1, TYK2, IFNB1, JAK1, IFNAR1, STAT2, IFNAR2, STAT1
BIOCARTA_IFNA_PATHWAY_1	IRF9, IFNB1, STAT2, STAT1
BIOCARTA_IFNA_PATHWAY_2	IFNA1, TYK2, JAK1, IFNAR1, IFNAR2
BIOCARTA_PKC_PATHWAY	NFKBIA, GNAQ, PLCB1, PRKCB, RELA, PRKCA, NFKB1
BIOCARTA_PKC_PATHWAY_1	GNAQ, PLCB1, PRKCB, PRKCA
BIOCARTA_PKC_PATHWAY_2	NFKBIA, RELA, NFKB1
