sampleID	chrom	arm	start.pos	end.pos	n.probes	mean
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	31324489	31324664	14	-0.092278
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	31324788	31325025	6	-0.092278
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	31777946	32489675	31	-0.409161
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	32489707	32489963	25	0.034846
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	32546665	32632650	304	-0.513936
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	32632687	32634514	33	-0.645936
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	32796653	56394173	475	0.027135
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	56417282	80912746	125	-0.38542
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	83602583	105736502	99	0.074075
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	106555025	151286224	249	-0.454333
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	151789709	160564476	157	0.027702
GLSS-LU-00C4-R1	6	GLSS-LU-00C4-R1	163149497	170892848	95	-0.31456
GLSS-LU-00C4-R1	7	GLSS-LU-00C4-R1	540741	30185353	403	0.728808
GLSS-LU-00C4-R1	7	GLSS-LU-00C4-R1	30536874	37924879	73	0.625862
GLSS-LU-00C4-R1	7	GLSS-LU-00C4-R1	37936530	56049117	166	0.732588
GLSS-LU-00C4-R1	7	GLSS-LU-00C4-R1	56082992	56088928	10	1.059764
GLSS-LU-00C4-R1	7	GLSS-LU-00C4-R1	56119730	141755987	525	0.682401
GLSS-LU-00C4-R1	7	GLSS-LU-00C4-R1	141759274	141759340	2	0.315843
GLSS-LU-00C4-R1	7	GLSS-LU-00C4-R1	141760293	148288135	63	0.55718
GLSS-LU-00C4-R1	7	GLSS-LU-00C4-R1	148463860	151680175	132	0.741588
GLSS-LU-00C4-R1	7	GLSS-LU-00C4-R1	151945007	151970856	4	0.250549
GLSS-LU-00C4-R1	7	GLSS-LU-00C4-R1	152373252	158851804	116	0.799068
GLSS-LU-00C4-R1	8	GLSS-LU-00C4-R1	363192	10467604	126	0.111098
GLSS-LU-00C4-R1	8	GLSS-LU-00C4-R1	10467605	10467652	7	-0.078986
GLSS-LU-00C4-R1	8	GLSS-LU-00C4-R1	10469030	143867905	919	0.051196
GLSS-LU-00C4-R1	8	GLSS-LU-00C4-R1	143959857	143960043	3	-0.069594
GLSS-LU-00C4-R1	8	GLSS-LU-00C4-R1	144103125	146171437	94	0.08404
GLSS-LU-00C4-R1	9	GLSS-LU-00C4-R1	214706	38413159	285	-0.409591
GLSS-LU-00C4-R1	9	GLSS-LU-00C4-R1	38414067	136031346	857	0.068563
GLSS-LU-00C4-R1	9	GLSS-LU-00C4-R1	136081133	136083695	13	-0.020601
GLSS-LU-00C4-R1	9	GLSS-LU-00C4-R1	136133506	139996714	266	0.048461
GLSS-LU-00C4-R1	9	GLSS-LU-00C4-R1	139996749	139996749	1	0.123348
GLSS-LU-00C4-R1	9	GLSS-LU-00C4-R1	140002136	140218025	22	0.202528
GLSS-LU-00C4-R1	9	GLSS-LU-00C4-R1	140242773	140250162	7	0.613985
GLSS-LU-00C4-R1	9	GLSS-LU-00C4-R1	140289696	141015351	29	0.031914
GLSS-LU-00C4-R1	10	GLSS-LU-00C4-R1	285113	135204669	1425	-0.396595
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	196592	993745	117	0.144721
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	1016609	1017893	8	-0.377981
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	1019375	1263776	60	-0.036569
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	1264691	1267960	5	0.173048
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	1271429	51412353	745	-0.016895
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	55035043	55111258	52	-0.480716
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	55111284	55111413	12	0.117665
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	55111584	55735649	51	-0.170823
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	55735808	56143570	62	-0.328698
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	56143690	56143696	2	-0.280764
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	56185159	64070940	172	-0.087606
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	64083221	64085148	12	-0.204338
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	64107735	71276632	232	0.026948
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	71276681	71276909	4	0.474019
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	71710478	73361781	32	0.035578
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	73498933	73499123	4	0.319239
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	73611349	123886308	616	0.021982
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	123886681	124267189	35	-0.43089
GLSS-LU-00C4-R1	11	GLSS-LU-00C4-R1	124294349	134244631	162	-0.00208
GLSS-LU-00C4-R1	12	GLSS-LU-00C4-R1	247900	11036008	363	-0.006582
GLSS-LU-00C4-R1	12	GLSS-LU-00C4-R1	11083356	11420517	7	0.109426
GLSS-LU-00C4-R1	12	GLSS-LU-00C4-R1	11421522	31144884	149	-0.027794
GLSS-LU-00C4-R1	12	GLSS-LU-00C4-R1	31249861	31254752	7	-0.418178
GLSS-LU-00C4-R1	12	GLSS-LU-00C4-R1	31255263	108986031	892	-0.012689
GLSS-LU-00C4-R1	12	GLSS-LU-00C4-R1	109017672	109017674	3	0.44696
GLSS-LU-00C4-R1	12	GLSS-LU-00C4-R1	109278747	133778796	499	0.105054
GLSS-LU-00C4-R1	13	GLSS-LU-00C4-R1	19751544	21721220	23	-0.014081
GLSS-LU-00C4-R1	13	GLSS-LU-00C4-R1	22033122	115064542	567	-0.342743
GLSS-LU-00C4-R1	14	GLSS-LU-00C4-R1	20215501	105414252	1085	-0.420821
GLSS-LU-00C4-R1	14	GLSS-LU-00C4-R1	105416838	105418275	15	-0.786066
GLSS-LU-00C4-R1	14	GLSS-LU-00C4-R1	105418344	105695446	12	-0.382026
GLSS-LU-00C4-R1	15	GLSS-LU-00C4-R1	22369248	102264476	1171	0.033641
GLSS-LU-00C4-R1	16	GLSS-LU-00C4-R1	115041	1279623	209	0.06963
GLSS-LU-00C4-R1	16	GLSS-LU-00C4-R1	1291188	1370682	26	-0.096225
GLSS-LU-00C4-R1	16	GLSS-LU-00C4-R1	1388618	15110077	393	0.075398
GLSS-LU-00C4-R1	16	GLSS-LU-00C4-R1	15111218	15122812	4	0.46356
GLSS-LU-00C4-R1	16	GLSS-LU-00C4-R1	15128416	16139878	43	0.144053
GLSS-LU-00C4-R1	16	GLSS-LU-00C4-R1	16149901	17294295	17	0.421748
GLSS-LU-00C4-R1	16	GLSS-LU-00C4-R1	19041595	24980189	144	-0.389352
GLSS-LU-00C4-R1	16	GLSS-LU-00C4-R1	25182032	55862901	131	0.069705
GLSS-LU-00C4-R1	16	GLSS-LU-00C4-R1	55862955	55862961	4	0.196804
GLSS-LU-00C4-R1	16	GLSS-LU-00C4-R1	55905676	69973825	201	0.085998
GLSS-LU-00C4-R1	16	GLSS-LU-00C4-R1	70163691	70191161	12	-0.109289
GLSS-LU-00C4-R1	16	GLSS-LU-00C4-R1	70285901	90130136	524	0.096471
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	131756	14095309	607	0.018671
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	14095550	14095639	3	-0.253092
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	14095682	15217437	8	-0.029441
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	15641457	15641540	5	-0.296103
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	15644392	18252010	88	0.067238
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	18541296	18542519	6	-0.280199
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	18638151	74288262	1068	0.022661
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	74288410	74288410	1	-0.104093
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	74288421	78061979	163	0.038293
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	78063957	78064064	6	0.405383
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	78071052	78970909	61	0.070249
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	78971156	78971182	3	0.426342
GLSS-LU-00C4-R1	17	GLSS-LU-00C4-R1	78971262	81043039	94	0.080616
GLSS-LU-00C4-R1	18	GLSS-LU-00C4-R1	196829	77895192	558	0.059265
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	282753	4493708	382	0.104564
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	4511281	4511677	10	-0.236256
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	4511737	4511830	4	-0.279275
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	4511920	4511948	5	-0.279275
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	4512669	12385749	489	0.097436
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	12502787	12543121	14	-0.731299
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	12551616	15918455	209	-0.041252
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	15918647	15989730	2	-0.222834
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	15989811	17397244	142	0.113701
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	17397483	17397497	2	0.690768
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	17397501	22256396	211	0.046959
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	22363448	22363844	11	-0.535318
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	22364233	33392475	40	0.197626
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	33444707	33490566	8	0.687295
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	33490585	33490616	2	0.687295
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	33498843	40366374	338	0.061219
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	40368274	40368478	4	0.866226
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	40719076	41313202	60	0.078284
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	41354606	41354661	2	-0.077312
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	41382607	42133048	42	-0.0313
GLSS-LU-00C4-R1	19	GLSS-LU-00C4-R1	42190859	59082605	998	-0.45594
GLSS-LU-00C4-R1	20	GLSS-LU-00C4-R1	168466	1638231	46	0.077949
GLSS-LU-00C4-R1	20	GLSS-LU-00C4-R1	1895621	2082732	18	0.266581
GLSS-LU-00C4-R1	20	GLSS-LU-00C4-R1	2313059	17639857	222	0.088383
GLSS-LU-00C4-R1	20	GLSS-LU-00C4-R1	17639893	17639902	2	0.033059
GLSS-LU-00C4-R1	20	GLSS-LU-00C4-R1	17937801	62737318	668	0.113731
GLSS-LU-00C4-R1	21	GLSS-LU-00C4-R1	10907137	10910347	6	-0.670829
GLSS-LU-00C4-R1	21	GLSS-LU-00C4-R1	15481168	46057590	394	0.070423
GLSS-LU-00C4-R1	21	GLSS-LU-00C4-R1	46057625	46057625	1	0.068148
GLSS-LU-00C4-R1	21	GLSS-LU-00C4-R1	46057806	47612720	103	0.004714
GLSS-LU-00C4-R1	21	GLSS-LU-00C4-R1	47613559	47613716	4	0.441205
GLSS-LU-00C4-R1	21	GLSS-LU-00C4-R1	47626728	48022375	75	0.219107
GLSS-LU-00C4-R1	22	GLSS-LU-00C4-R1	17288988	50928026	930	-0.383879
GLSS-LU-00C4-R1	23	GLSS-LU-00C4-R1	2835831	73811761	34	-0.017462
GLSS-LU-00C4-R1	23	GLSS-LU-00C4-R1	140993745	140994037	7	-0.697412
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	881627	16332571	334	-0.059765
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	16342237	16383267	59	0.098683
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	16383336	16383974	9	0.392213
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	16384801	17264939	36	-0.24378
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	17394775	22213628	215	-0.012564
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	22310017	22332008	11	0.525116
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	22332411	27943308	161	-0.044285
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	27995518	27995565	3	0.506242
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	28053311	50666515	310	-0.013974
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	51767923	51767923	1	-0.112556
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	53153432	86252025	328	0.024659
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	86340523	144946768	401	0.097744
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	145015877	145016035	2	0.297478
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	145021024	145021034	2	0.181638
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	145021089	145115810	13	0.40969
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	145115815	145282600	17	0.292474
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	145507826	151686983	105	-0.069937
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	151732700	153005156	56	0.148102
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	153122310	248059856	1278	0.03235
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	248084222	248402758	14	0.251073
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	248436611	248436811	5	0.296325
GLSS-HF-3050-R1	1	GLSS-HF-3050-R1	248486895	248814126	8	0.221481
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	224919	1983619	42	0.128115
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	3392513	111907691	875	0.007532
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	112615933	112725684	6	0.118634
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	112740373	152717071	270	0.020366
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	153378459	169020179	133	0.115791
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	169571414	176046257	126	-0.010392
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	176857156	197208531	158	0.100871
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	197792152	203631359	49	-0.000985
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	204055528	204055980	3	0.180813
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	204073414	240981262	559	0.022121
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	240982201	240982257	3	0.588483
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	240982443	240985347	5	0.44768
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	241078784	241980123	61	0.007943
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	241991903	241992053	4	0.094627
GLSS-HF-3050-R1	2	GLSS-HF-3050-R1	242002828	242793912	81	-0.001053
GLSS-HF-3050-R1	3	GLSS-HF-3050-R1	386247	9885615	57	0.080231
GLSS-HF-3050-R1	3	GLSS-HF-3050-R1	9972493	10264299	43	-0.206538
GLSS-HF-3050-R1	3	GLSS-HF-3050-R1	10268017	195447886	1620	0.031261
GLSS-HF-3050-R1	3	GLSS-HF-3050-R1	195452689	195475989	15	0.567726
GLSS-HF-3050-R1	3	GLSS-HF-3050-R1	195477715	197765432	82	-0.122858
GLSS-HF-3050-R1	4	GLSS-HF-3050-R1	436067	88533540	744	0.034898
GLSS-HF-3050-R1	4	GLSS-HF-3050-R1	88535832	88535832	1	0.278175
GLSS-HF-3050-R1	4	GLSS-HF-3050-R1	88536362	88537063	8	0.319233
GLSS-HF-3050-R1	4	GLSS-HF-3050-R1	88537243	88537522	7	0.217033
GLSS-HF-3050-R1	4	GLSS-HF-3050-R1	89575324	175688141	439	0.066246
GLSS-HF-3050-R1	4	GLSS-HF-3050-R1	175899001	175899001	1	0.165011
GLSS-HF-3050-R1	4	GLSS-HF-3050-R1	176555282	190862287	114	0.04494
GLSS-HF-3050-R1	5	GLSS-HF-3050-R1	163205	6755460	58	0.122125
GLSS-HF-3050-R1	5	GLSS-HF-3050-R1	7520881	139740734	860	0.018205
GLSS-HF-3050-R1	5	GLSS-HF-3050-R1	140229235	140739874	70	0.234057
GLSS-HF-3050-R1	5	GLSS-HF-3050-R1	140795128	180335671	482	0.015658
GLSS-HF-3050-R1	5	GLSS-HF-3050-R1	180376972	180377018	3	1.460597
GLSS-HF-3050-R1	5	GLSS-HF-3050-R1	180429826	180660259	7	0.043377
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	312023	312023	1	0.199562
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	335251	630033	17	0.154446
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	1395043	10881787	82	0.024119
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	10891844	10891846	2	-0.062802
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	10891892	29796685	201	0.013575
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	29910083	29913344	33	0.709438
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	30858857	31237233	34	-0.059095
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	31237571	31238889	34	-0.055835
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	31322224	31868075	23	0.363744
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	32006762	32007625	3	0.579794
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	32093922	32487181	9	-0.184328
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	32487294	32487402	2	-0.184328
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	32489791	32489955	6	-2.120882
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	32548122	32548628	13	-0.204414
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	32548646	32552112	51	-0.549574
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	32605189	32610201	24	0.673605
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	32610246	32610535	12	-0.008727
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	32627976	32629129	33	0.365248
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	32629155	32629269	6	0.558851
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	32629718	34059561	104	0.213306
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	34664207	49663519	297	-0.011772
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	49668405	49668405	1	0.152757
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	49808716	160207049	797	0.026613
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	160211421	167738723	69	0.152009
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	167789442	167789622	5	0.466138
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	167796182	170713682	26	0.029917
GLSS-HF-3050-R1	6	GLSS-HF-3050-R1	170871013	170871067	3	-0.069168
GLSS-HF-3050-R1	7	GLSS-HF-3050-R1	538277	56087530	508	0.29002
GLSS-HF-3050-R1	7	GLSS-HF-3050-R1	56088786	56129511	8	0.28598
GLSS-HF-3050-R1	7	GLSS-HF-3050-R1	56142519	158662431	879	0.216447
GLSS-HF-3050-R1	8	GLSS-HF-3050-R1	363192	2027633	27	0.037607
GLSS-HF-3050-R1	8	GLSS-HF-3050-R1	2033641	2033687	6	0.20932
GLSS-HF-3050-R1	8	GLSS-HF-3050-R1	2037747	10396056	67	0.006227
GLSS-HF-3050-R1	8	GLSS-HF-3050-R1	10464604	10467636	7	0.067536
GLSS-HF-3050-R1	8	GLSS-HF-3050-R1	10467652	101661603	580	0.005066
GLSS-HF-3050-R1	8	GLSS-HF-3050-R1	101718768	101721899	15	0.308552
GLSS-HF-3050-R1	8	GLSS-HF-3050-R1	102678798	146105917	431	0.040978
GLSS-HF-3050-R1	9	GLSS-HF-3050-R1	215494	19516090	160	0.043997
GLSS-HF-3050-R1	9	GLSS-HF-3050-R1	20620575	25678640	19	-0.503657
GLSS-HF-3050-R1	9	GLSS-HF-3050-R1	27168433	27567145	16	0.135453
GLSS-HF-3050-R1	9	GLSS-HF-3050-R1	32425910	137299912	882	-0.005391
GLSS-HF-3050-R1	9	GLSS-HF-3050-R1	137313407	139650060	125	0.10025
GLSS-HF-3050-R1	9	GLSS-HF-3050-R1	139650595	139650619	2	0.16804
GLSS-HF-3050-R1	9	GLSS-HF-3050-R1	139652338	140605334	66	0.017208
GLSS-HF-3050-R1	9	GLSS-HF-3050-R1	140777299	140777299	1	0.205722
GLSS-HF-3050-R1	9	GLSS-HF-3050-R1	140777306	141015351	4	0.205722
GLSS-HF-3050-R1	10	GLSS-HF-3050-R1	294165	5683649	58	0.000916
GLSS-HF-3050-R1	10	GLSS-HF-3050-R1	5926079	17756596	170	-0.22726
GLSS-HF-3050-R1	10	GLSS-HF-3050-R1	18242311	46120003	195	-0.145807
GLSS-HF-3050-R1	10	GLSS-HF-3050-R1	46963738	47087830	31	0.354583
GLSS-HF-3050-R1	10	GLSS-HF-3050-R1	49392575	68685929	89	-0.047825
GLSS-HF-3050-R1	10	GLSS-HF-3050-R1	69648569	71128875	65	-0.316365
GLSS-HF-3050-R1	10	GLSS-HF-3050-R1	71649064	135371466	737	-0.128621
