Sample	Chromosome	Start Position	End Position	Num markers	Seg.CN
GLSS-LU-00C7-R1	11	19077765	63283220	397	-0.814526
GLSS-LU-00C7-R1	11	63487386	63488573	2	0.017032
GLSS-LU-00C7-R1	11	63585804	64082823	30	-1.140846
GLSS-LU-00C7-R1	11	64083221	64083331	11	-0.739126
GLSS-LU-00C7-R1	11	64107735	64138905	18	-0.818506
GLSS-LU-00C7-R1	11	64359286	64465403	15	-0.107025
GLSS-LU-00C7-R1	11	64480641	64480930	2	1.851703
GLSS-LU-00C7-R1	11	64559898	71672136	211	0.039125
GLSS-LU-00C7-R1	11	71932414	74559481	63	-0.792715
GLSS-LU-00C7-R1	11	74705696	134188414	704	0.06688
GLSS-LU-00C7-R1	12	248202	11420517	300	0.048162
GLSS-LU-00C7-R1	12	11461549	11461706	8	0.2104
GLSS-LU-00C7-R1	12	12240199	123087442	1312	0.065784
GLSS-LU-00C7-R1	12	123186880	123200334	2	-0.108722
GLSS-LU-00C7-R1	12	123200354	133780309	250	-0.008343
GLSS-LU-00C7-R1	13	20277413	25373515	83	0.014168
GLSS-LU-00C7-R1	13	25670797	25671122	22	0.185829
GLSS-LU-00C7-R1	13	25671143	25671172	4	0.185829
GLSS-LU-00C7-R1	13	25671200	25671369	9	0.026073
GLSS-LU-00C7-R1	13	25671398	25671795	7	-0.171968
GLSS-LU-00C7-R1	13	25876011	32936646	60	0.077014
GLSS-LU-00C7-R1	13	33332648	115064542	432	-0.821347
GLSS-LU-00C7-R1	14	20215989	63747634	450	0.032345
GLSS-LU-00C7-R1	14	64066340	64066431	12	0.126422
GLSS-LU-00C7-R1	14	64491695	70924567	122	0.022722
GLSS-LU-00C7-R1	14	70924852	70925818	2	-0.010102
GLSS-LU-00C7-R1	14	70926395	96922752	337	0.039603
GLSS-LU-00C7-R1	14	99640905	99642647	3	1.43971
GLSS-LU-00C7-R1	14	99976645	105963945	149	-0.010691
GLSS-LU-00C7-R1	15	22925851	78922194	709	0.062624
GLSS-LU-00C7-R1	15	79058317	79058378	4	0.164574
GLSS-LU-00C7-R1	15	79070000	102359203	321	0.023789
GLSS-LU-00C7-R1	16	115041	2373703	249	-1.027686
GLSS-LU-00C7-R1	16	2570373	15680642	281	-0.242299
GLSS-LU-00C7-R1	16	15730245	25268368	164	-0.795701
GLSS-LU-00C7-R1	16	27226437	55847051	212	-0.245766
GLSS-LU-00C7-R1	16	55862590	55862901	12	0.152313
GLSS-LU-00C7-R1	16	55883412	61689269	97	-0.206201
GLSS-LU-00C7-R1	16	64982033	67517179	52	-0.853303
GLSS-LU-00C7-R1	16	67574408	69973655	110	-0.236154
GLSS-LU-00C7-R1	16	70163691	70164334	3	-0.42411
GLSS-LU-00C7-R1	16	70165439	80719086	157	-0.183631
GLSS-LU-00C7-R1	16	81010073	90142087	465	-0.868908
GLSS-LU-00C7-R1	17	177359	81052423	2116	-0.000479
GLSS-LU-00C7-R1	18	166819	357570	8	-0.699976
GLSS-LU-00C7-R1	18	480564	905203	28	-0.015354
GLSS-LU-00C7-R1	18	2544702	11886563	110	0.561299
GLSS-LU-00C7-R1	18	12429313	28934681	96	-0.076036
GLSS-LU-00C7-R1	18	28956904	74962645	274	0.563068
GLSS-LU-00C7-R1	18	76752544	76754757	8	1.34606
GLSS-LU-00C7-R1	18	77209015	77805715	16	0.605717
GLSS-LU-00C7-R1	19	281360	4454000	305	-0.063389
GLSS-LU-00C7-R1	19	4511281	4511927	16	-0.473117
GLSS-LU-00C7-R1	19	4511929	4512748	6	-0.484152
GLSS-LU-00C7-R1	19	4548015	8032680	263	-0.029675
GLSS-LU-00C7-R1	19	8045862	15918500	468	0.080193
GLSS-LU-00C7-R1	19	15918647	15989730	3	-0.132061
GLSS-LU-00C7-R1	19	15989811	22256396	316	-0.016035
GLSS-LU-00C7-R1	19	22363448	22363634	8	0.124632
GLSS-LU-00C7-R1	19	22363650	22363844	3	0.124632
GLSS-LU-00C7-R1	19	22364233	36017928	140	0.057527
GLSS-LU-00C7-R1	19	36018407	36018413	2	0.018897
GLSS-LU-00C7-R1	19	36038174	41313202	260	0.055505
GLSS-LU-00C7-R1	19	41354606	41354661	2	-0.192932
GLSS-LU-00C7-R1	19	41354712	55175009	819	0.034736
GLSS-LU-00C7-R1	19	55175058	55175082	3	-0.031881
GLSS-LU-00C7-R1	19	55175740	59074653	270	0.026798
GLSS-LU-00C7-R1	20	138125	2377204	62	0.055045
GLSS-LU-00C7-R1	20	2552805	4880308	92	0.58339
GLSS-LU-00C7-R1	20	5169877	19261623	111	-0.843211
GLSS-LU-00C7-R1	20	19941538	19970705	2	0.451408
GLSS-LU-00C7-R1	20	20032998	20150027	7	1.986205
GLSS-LU-00C7-R1	20	20243562	21362758	5	1.047032
GLSS-LU-00C7-R1	20	22562674	23807360	20	0.476599
GLSS-LU-00C7-R1	20	23857982	23860178	2	1.906952
GLSS-LU-00C7-R1	20	24944933	25038372	5	0.486431
GLSS-LU-00C7-R1	20	25187213	25479058	38	-0.938284
GLSS-LU-00C7-R1	20	29965014	42355169	262	0.93945
GLSS-LU-00C7-R1	20	42743454	62729577	391	0.48012
GLSS-LU-00C7-R1	21	10910253	47612867	492	-0.022274
GLSS-LU-00C7-R1	21	47613570	47613716	3	0.278236
GLSS-LU-00C7-R1	21	47614469	47987167	63	0.002305
GLSS-LU-00C7-R1	22	17445502	20759534	140	0.49819
GLSS-LU-00C7-R1	22	20779604	20779822	3	2.382313
GLSS-LU-00C7-R1	22	20784217	41864190	446	0.565046
GLSS-LU-00C7-R1	22	42016699	50705304	199	-0.02104
GLSS-LU-00C7-R1	22	50706381	50706381	1	1.76966
GLSS-LU-00C7-R1	22	50714731	50714751	3	-0.302521
GLSS-LU-00C7-R1	22	50722408	51216564	49	0.063068
GLSS-LU-00C7-R1	23	2835831	70767666	31	-0.189001
GLSS-LU-00C7-R1	23	71792461	73811761	5	-0.161715
GLSS-LU-00C7-R1	23	140993745	140993745	1	0.888745
GLSS-LU-00C7-R1	23	140993852	153906377	10	0.888745
GLSS-LU-0B13-R1	1	881627	7913445	150	0.008311
GLSS-LU-0B13-R1	1	8390246	8422676	9	-1.653307
GLSS-LU-0B13-R1	1	8926329	47497037	715	0.051812
GLSS-LU-0B13-R1	1	47547972	47571905	3	-0.402313
GLSS-LU-0B13-R1	1	47609407	120166681	464	-0.007327
GLSS-LU-0B13-R1	1	144865850	144946768	43	0.081379
GLSS-LU-0B13-R1	1	145015877	145021024	3	0.314506
GLSS-LU-0B13-R1	1	145021089	145021089	1	0.470859
GLSS-LU-0B13-R1	1	145074882	145115810	9	0.244815
GLSS-LU-0B13-R1	1	145115820	145115820	1	-0.08505
GLSS-LU-0B13-R1	1	145281408	145282093	7	-0.166427
GLSS-LU-0B13-R1	1	145415273	205897876	803	0.004659
GLSS-LU-0B13-R1	1	206516261	206567165	5	0.137654
GLSS-LU-0B13-R1	1	206623685	244528127	333	0.055052
GLSS-LU-0B13-R1	1	244573030	244601152	3	-1.844667
GLSS-LU-0B13-R1	1	244624887	248129486	47	-0.087571
GLSS-LU-0B13-R1	1	248202474	248202474	1	0.525526
GLSS-LU-0B13-R1	1	248224595	248224618	2	-0.737258
GLSS-LU-0B13-R1	1	248263626	248617150	8	-0.100824
GLSS-LU-0B13-R1	1	248637046	248637543	4	0.302476
GLSS-LU-0B13-R1	1	248737343	248814126	9	-1.038188
GLSS-LU-0B13-R1	1	248844959	249208772	6	-0.086663
GLSS-LU-0B13-R1	2	234130	242814463	1677	-0.024565
GLSS-LU-0B13-R1	3	361508	176750734	1107	-0.032778
GLSS-LU-0B13-R1	3	178545952	191107445	122	0.786478
GLSS-LU-0B13-R1	3	193023255	195245805	28	0.013534
GLSS-LU-0B13-R1	3	195451880	195456561	18	-0.594704
GLSS-LU-0B13-R1	3	195475799	197748355	56	-0.159643
GLSS-LU-0B13-R1	4	368258	88535832	544	-0.041509
GLSS-LU-0B13-R1	4	88536029	88537279	10	0.156388
GLSS-LU-0B13-R1	4	88537306	190862182	404	-0.057305
GLSS-LU-0B13-R1	5	163266	156479568	1012	-0.022028
GLSS-LU-0B13-R1	5	156479572	156479572	1	-0.169183
GLSS-LU-0B13-R1	5	156589585	180687212	247	0.004778
GLSS-LU-0B13-R1	6	335251	348906	4	0.30623
GLSS-LU-0B13-R1	6	497520	572480	3	-1.866917
GLSS-LU-0B13-R1	6	576902	29911306	268	-0.038875
GLSS-LU-0B13-R1	6	29911319	29913001	19	-0.108678
GLSS-LU-0B13-R1	6	29913037	31323072	75	-0.04386
GLSS-LU-0B13-R1	6	31323115	31323143	4	0.345266
GLSS-LU-0B13-R1	6	31323337	32165444	28	-0.191159
GLSS-LU-0B13-R1	6	32487123	32487193	6	-2.456779
GLSS-LU-0B13-R1	6	32489630	32489981	48	-0.637953
GLSS-LU-0B13-R1	6	32546758	32546855	12	0.43586
GLSS-LU-0B13-R1	6	32546863	32546914	3	0.43586
GLSS-LU-0B13-R1	6	32546918	32548671	22	0.166039
GLSS-LU-0B13-R1	6	32549313	32549607	17	-0.276519
GLSS-LU-0B13-R1	6	32549611	32552016	25	-0.037959
GLSS-LU-0B13-R1	6	32552017	32552029	2	-0.037959
GLSS-LU-0B13-R1	6	32552039	32552039	1	-0.037959
GLSS-LU-0B13-R1	6	32552056	32552075	3	-0.037959
GLSS-LU-0B13-R1	6	32552080	32552080	1	-0.037959
GLSS-LU-0B13-R1	6	32552081	32552085	2	-0.037959
GLSS-LU-0B13-R1	6	32552095	32552184	11	-0.037959
GLSS-LU-0B13-R1	6	32605295	32609192	18	-0.942014
GLSS-LU-0B13-R1	6	32609345	32609855	12	-0.820838
GLSS-LU-0B13-R1	6	32609969	32610134	8	-0.063534
GLSS-LU-0B13-R1	6	32610487	32610968	19	-1.498454
GLSS-LU-0B13-R1	6	32627934	32629282	18	-0.139441
GLSS-LU-0B13-R1	6	32629692	32634467	24	-0.652861
GLSS-LU-0B13-R1	6	33541719	57055354	281	-0.039123
GLSS-LU-0B13-R1	6	57467100	57472488	6	0.199195
GLSS-LU-0B13-R1	6	62390916	170704444	668	-0.022698
GLSS-LU-0B13-R1	7	540741	30892967	252	0.005022
GLSS-LU-0B13-R1	7	31592491	44185088	91	1.733664
GLSS-LU-0B13-R1	7	44579180	44580991	3	-0.237489
GLSS-LU-0B13-R1	7	45009325	56049117	95	1.763722
GLSS-LU-0B13-R1	7	56088786	56088908	7	1.999831
GLSS-LU-0B13-R1	7	56119730	56151489	3	1.689712
GLSS-LU-0B13-R1	7	64168806	141755358	427	0.664393
GLSS-LU-0B13-R1	7	141759340	141759340	1	0.381082
GLSS-LU-0B13-R1	7	141759676	141957504	6	0.483117
GLSS-LU-0B13-R1	7	142566163	142566163	1	-0.312742
GLSS-LU-0B13-R1	7	142836203	151873853	137	0.643625
GLSS-LU-0B13-R1	7	151945007	151945204	5	-0.166328
GLSS-LU-0B13-R1	7	151970977	158827326	48	0.705114
GLSS-LU-0B13-R1	8	441457	10467636	75	-0.019115
GLSS-LU-0B13-R1	8	10467652	10531087	2	-0.127253
GLSS-LU-0B13-R1	8	10583506	101245567	442	-0.038341
GLSS-LU-0B13-R1	8	101718932	101721839	11	-0.411791
GLSS-LU-0B13-R1	8	103250991	146105917	403	0.033754
GLSS-LU-0B13-R1	9	214706	139324737	955	0.005583
GLSS-LU-0B13-R1	9	139327034	139327599	6	-0.541274
GLSS-LU-0B13-R1	9	139341612	139996641	51	0.10153
GLSS-LU-0B13-R1	9	139996714	139996714	1	0.044843
GLSS-LU-0B13-R1	9	139996933	140706127	22	0.131857
GLSS-LU-0B13-R1	9	140777306	140777370	2	-0.20517
GLSS-LU-0B13-R1	10	282897	30629226	244	-0.060222
GLSS-LU-0B13-R1	10	30918424	30918549	4	0.017769
GLSS-LU-0B13-R1	10	31134214	46963951	40	0.001718
GLSS-LU-0B13-R1	10	46965018	47000146	25	0.011118
GLSS-LU-0B13-R1	10	47087078	47087078	1	-0.048002
GLSS-LU-0B13-R1	10	47087501	47087501	1	-0.048002
GLSS-LU-0B13-R1	10	48370595	124325569	685	-0.033084
GLSS-LU-0B13-R1	10	124329580	124332035	13	-0.927144
GLSS-LU-0B13-R1	10	124333308	135213263	121	-0.006741
GLSS-LU-0B13-R1	11	284257	793588	42	0.035771
GLSS-LU-0B13-R1	11	800485	800486	2	0.239629
GLSS-LU-0B13-R1	11	824496	5323071	117	-0.066666
GLSS-LU-0B13-R1	11	5372718	5906291	72	-0.384849
GLSS-LU-0B13-R1	11	5969185	18267135	203	-0.067755
GLSS-LU-0B13-R1	11	18267431	18267478	6	-0.074554
GLSS-LU-0B13-R1	11	18303533	56143424	196	-0.08245
GLSS-LU-0B13-R1	11	56143570	56143570	1	-0.261937
GLSS-LU-0B13-R1	11	56143592	95825797	490	-0.039094
GLSS-LU-0B13-R1	11	99690286	99690428	3	0.154793
GLSS-LU-0B13-R1	11	99690461	134251777	344	-0.022392
GLSS-LU-0B13-R1	12	250239	7945927	168	0.68772
GLSS-LU-0B13-R1	12	8074055	8074192	2	0.69594
GLSS-LU-0B13-R1	12	8197424	32755259	242	0.645029
GLSS-LU-0B13-R1	12	40631791	129298815	864	-0.059725
GLSS-LU-0B13-R1	12	129298819	129298819	1	0.027242
GLSS-LU-0B13-R1	12	129298820	133780309	84	0.025203
GLSS-LU-0B13-R1	13	19751544	20251791	7	-0.04913
GLSS-LU-0B13-R1	13	20277413	20277413	1	0.444063
GLSS-LU-0B13-R1	13	20325625	25459657	56	-0.029949
GLSS-LU-0B13-R1	13	25670813	25671089	15	-0.189303
GLSS-LU-0B13-R1	13	25671195	115091073	425	-0.00858
GLSS-LU-0B13-R1	14	20295763	105716034	748	0.001112
GLSS-LU-0B13-R1	15	22368862	22368905	2	-0.159713
GLSS-LU-0B13-R1	15	22369248	22369373	3	-0.159713
GLSS-LU-0B13-R1	15	22369426	22369426	1	-0.159713
GLSS-LU-0B13-R1	15	22382728	22383066	6	-0.59413
GLSS-LU-0B13-R1	15	22869804	40564576	146	-0.003045
GLSS-LU-0B13-R1	15	40582161	40582167	4	0.074271
GLSS-LU-0B13-R1	15	40582169	83680287	451	-0.014251
GLSS-LU-0B13-R1	15	84257351	84257351	1	-2.19019
GLSS-LU-0B13-R1	15	84539619	102224341	219	0.01423
GLSS-LU-0B13-R1	16	111247	70164334	656	-0.041986
GLSS-LU-0B13-R1	16	70164741	70191029	8	-0.087341
GLSS-LU-0B13-R1	16	70287177	90141477	349	-0.047237
GLSS-LU-0B13-R1	17	63683	21207844	442	-0.000165
GLSS-LU-0B13-R1	17	21318629	21318773	4	-0.075488
GLSS-LU-0B13-R1	17	21318821	21318821	1	-0.075488
GLSS-LU-0B13-R1	17	21318897	21319860	12	-0.075488
GLSS-LU-0B13-R1	17	25931718	81051007	936	-0.001468
GLSS-LU-0B13-R1	18	166819	77736735	367	-0.030991
GLSS-LU-0B13-R1	18	77894844	77896242	2	-1.840568
GLSS-LU-0B13-R1	19	326481	4511491	276	0.008166
GLSS-LU-0B13-R1	19	4511575	4511581	4	-0.231493
GLSS-LU-0B13-R1	19	4511737	4511830	4	-0.11221
GLSS-LU-0B13-R1	19	4511908	33467576	731	-0.109298
GLSS-LU-0B13-R1	19	33490462	33490616	4	0.317622
GLSS-LU-0B13-R1	19	33702245	54723030	691	-0.074854
GLSS-LU-0B13-R1	19	54725930	54727212	14	1.542908
GLSS-LU-0B13-R1	19	54742900	55086169	33	-0.080895
GLSS-LU-0B13-R1	19	55105267	55568085	68	-0.287663
GLSS-LU-0B13-R1	19	55574412	58904396	123	-0.054213
GLSS-LU-0B13-R1	20	76962	62903729	694	-0.018053
GLSS-LU-0B13-R1	21	10910253	10910311	3	-0.387191
GLSS-LU-0B13-R1	21	10910340	48022375	320	-0.048487
GLSS-LU-0B13-R1	22	17446991	26702208	172	0.012582
GLSS-LU-0B13-R1	22	26853905	29737823	24	0.81143
GLSS-LU-0B13-R1	22	29885594	29885618	2	0.602939
GLSS-LU-0B13-R1	22	30695372	33253280	59	0.709731
GLSS-LU-0B13-R1	22	35463249	51065361	352	-0.009983
GLSS-LU-0B13-R1	23	2699968	140983127	372	-0.028971
GLSS-LU-0B13-R1	23	140993264	140995315	21	-0.645381
GLSS-LU-0B13-R1	23	140996672	154194989	63	-0.036569
GLSS-LU-00C1-R1	1	880238	1374286	87	-0.091243
GLSS-LU-00C1-R1	1	1420527	1669748	31	-0.486412
GLSS-LU-00C1-R1	1	1684472	24859665	677	-0.071625
GLSS-LU-00C1-R1	1	25140825	77949129	689	0.027893
GLSS-LU-00C1-R1	1	78958277	144874760	317	-0.056624
GLSS-LU-00C1-R1	1	144874815	144881711	6	-0.056771
GLSS-LU-00C1-R1	1	144882581	144892368	10	0.152932
GLSS-LU-00C1-R1	1	144909956	144946768	25	-0.207047
GLSS-LU-00C1-R1	1	144994654	145021265	7	0.254483
GLSS-LU-00C1-R1	1	145074939	145075854	5	-0.013605
GLSS-LU-00C1-R1	1	145075903	145075923	2	-0.013605
GLSS-LU-00C1-R1	1	145115810	145282093	12	-0.772882
GLSS-LU-00C1-R1	1	145507826	152195579	107	0.055534
GLSS-LU-00C1-R1	1	152276149	152279019	18	-0.808682
GLSS-LU-00C1-R1	1	152279642	152279920	4	-0.253387
GLSS-LU-00C1-R1	1	152280032	152281534	21	-0.253387
GLSS-LU-00C1-R1	1	152281621	152484129	18	-0.354887
GLSS-LU-00C1-R1	1	152882952	152882982	4	0.323597
GLSS-LU-00C1-R1	1	152944594	160393905	283	0.066724
GLSS-LU-00C1-R1	1	160786670	196682947	343	-0.020835
GLSS-LU-00C1-R1	1	196712577	196712586	2	-0.059018
GLSS-LU-00C1-R1	1	196920148	230513128	544	-0.046836
GLSS-LU-00C1-R1	1	230828966	242383201	182	-0.021229
GLSS-LU-00C1-R1	1	243329049	243329075	2	-0.445707
GLSS-LU-00C1-R1	1	243777066	247323195	28	-0.171126
GLSS-LU-00C1-R1	1	247486213	248814126	69	-0.625352
GLSS-LU-00C1-R1	1	249142169	249211350	6	0.146047
GLSS-LU-00C1-R1	2	41404	70488470	616	-0.057983
GLSS-LU-00C1-R1	2	70524368	70524606	18	-0.114375
GLSS-LU-00C1-R1	2	70528827	74761539	92	-0.116782
GLSS-LU-00C1-R1	2	74788224	74788380	15	0.507352
GLSS-LU-00C1-R1	2	74884611	79254771	20	-0.056536
GLSS-LU-00C1-R1	2	79385630	79385823	6	0.574922
GLSS-LU-00C1-R1	2	80772972	95947099	72	-0.094141
GLSS-LU-00C1-R1	2	95963242	95963242	1	1.385235
GLSS-LU-00C1-R1	2	97267260	152487574	353	-0.276557
GLSS-LU-00C1-R1	2	152496526	232790053	853	-0.072502
GLSS-LU-00C1-R1	2	233028070	233245958	7	-0.064546
GLSS-LU-00C1-R1	2	233390937	242814009	277	-0.075156
GLSS-LU-00C1-R1	3	1189576	113956021	917	-0.063451
GLSS-LU-00C1-R1	3	116163658	124909178	159	0.012586
GLSS-LU-00C1-R1	3	125249340	195065978	505	-0.057294
GLSS-LU-00C1-R1	3	195102787	195453412	18	-0.156823
GLSS-LU-00C1-R1	3	195453434	195497809	16	0.043902
GLSS-LU-00C1-R1	3	195505762	195506421	19	4.471694
GLSS-LU-00C1-R1	3	195506435	195506473	3	4.471694
GLSS-LU-00C1-R1	3	195506483	195506579	11	4.471694
GLSS-LU-00C1-R1	3	195506581	195506676	5	4.471694
GLSS-LU-00C1-R1	3	195506740	195515414	7	0.435765
GLSS-LU-00C1-R1	3	195515422	196158332	23	0.303743
GLSS-LU-00C1-R1	3	196538121	196538228	8	0.52571
GLSS-LU-00C1-R1	3	196541580	197432124	30	0.00408
GLSS-LU-00C1-R1	4	86798	367267	16	-0.133631
GLSS-LU-00C1-R1	4	436067	1377615	59	-0.186682
GLSS-LU-00C1-R1	4	1388350	1388974	12	-0.663496
GLSS-LU-00C1-R1	4	1389005	88535785	661	-0.067703
GLSS-LU-00C1-R1	4	88536362	88537522	33	-0.083987
GLSS-LU-00C1-R1	4	88577754	190863127	387	-0.067454
GLSS-LU-00C1-R1	5	163769	666323	60	-0.192528
GLSS-LU-00C1-R1	5	814733	1035413	11	0.140428
GLSS-LU-00C1-R1	5	1035602	140183058	796	-0.03681
GLSS-LU-00C1-R1	5	140186657	140755495	108	-0.37633
GLSS-LU-00C1-R1	5	140762763	180582604	527	-0.041663
GLSS-LU-00C1-R1	6	335251	17282415	122	-0.076572
GLSS-LU-00C1-R1	6	17601035	17601111	14	0.169739
GLSS-LU-00C1-R1	6	17605106	29796986	107	-0.154023
GLSS-LU-00C1-R1	6	29909797	29912830	40	-0.286916
GLSS-LU-00C1-R1	6	29912935	31237876	65	0.180036
GLSS-LU-00C1-R1	6	31237950	31324373	91	-0.308495
GLSS-LU-00C1-R1	6	31324491	31324742	24	-0.171477
GLSS-LU-00C1-R1	6	31324788	32095996	38	-0.171477
GLSS-LU-00C1-R1	6	32486943	32487268	16	0.657969
GLSS-LU-00C1-R1	6	32487390	32489733	12	1.424724
GLSS-LU-00C1-R1	6	32489744	32490009	21	1.424724
GLSS-LU-00C1-R1	6	32546665	32546931	21	-0.462523
GLSS-LU-00C1-R1	6	32548050	32551947	66	0.184342
GLSS-LU-00C1-R1	6	32551948	32551958	3	0.37875
GLSS-LU-00C1-R1	6	32551960	32609286	41	0.37875
GLSS-LU-00C1-R1	6	32609299	32610134	37	-0.408032
GLSS-LU-00C1-R1	6	32610171	32628439	78	0.003824
GLSS-LU-00C1-R1	6	32628473	32628699	14	-0.194692
GLSS-LU-00C1-R1	6	32628736	32629282	20	-0.387239
GLSS-LU-00C1-R1	6	32629716	32940142	36	-0.459867
GLSS-LU-00C1-R1	6	33255103	43276388	265	0.025298
GLSS-LU-00C1-R1	6	43308363	160464289	842	-0.086642
GLSS-LU-00C1-R1	6	160523709	161990516	37	-0.3852
GLSS-LU-00C1-R1	6	162683876	170891444	61	-0.067389
GLSS-LU-00C1-R1	7	193091	54610654	590	0.15814
GLSS-LU-00C1-R1	7	55214535	55249063	7	2.019386
GLSS-LU-00C1-R1	7	55991144	151873853	950	0.172667
GLSS-LU-00C1-R1	7	151945007	151945167	3	0.022032
GLSS-LU-00C1-R1	7	151970856	158622481	75	0.155653
