userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000015413	DPEP1	dipeptidase 1	1800	https://www.ncbi.nlm.nih.gov/gene/?term=1800
ENSG00000015520	NPC1L1	NPC1 like intracellular cholesterol transporter 1	29881	https://www.ncbi.nlm.nih.gov/gene/?term=29881
ENSG00000016602	CLCA4	chloride channel accessory 4	22802	https://www.ncbi.nlm.nih.gov/gene/?term=22802
ENSG00000017483	SLC38A5	solute carrier family 38 member 5	92745	https://www.ncbi.nlm.nih.gov/gene/?term=92745
ENSG00000026751	SLAMF7	SLAM family member 7	57823	https://www.ncbi.nlm.nih.gov/gene/?term=57823
ENSG00000026950	BTN3A1	butyrophilin subfamily 3 member A1	11119	https://www.ncbi.nlm.nih.gov/gene/?term=11119
ENSG00000030304	MUSK	muscle associated receptor tyrosine kinase	4593	https://www.ncbi.nlm.nih.gov/gene/?term=4593
ENSG00000031081	ARHGAP31	Rho GTPase activating protein 31	57514	https://www.ncbi.nlm.nih.gov/gene/?term=57514
ENSG00000037280	FLT4	fms related tyrosine kinase 4	2324	https://www.ncbi.nlm.nih.gov/gene/?term=2324
ENSG00000039068	CDH1	cadherin 1	999	https://www.ncbi.nlm.nih.gov/gene/?term=999
ENSG00000039139	DNAH5	dynein axonemal heavy chain 5	1767	https://www.ncbi.nlm.nih.gov/gene/?term=1767
ENSG00000039537	C6	complement C6	729	https://www.ncbi.nlm.nih.gov/gene/?term=729
ENSG00000050555	LAMC3	laminin subunit gamma 3	10319	https://www.ncbi.nlm.nih.gov/gene/?term=10319
ENSG00000053702	NRIP2	nuclear receptor interacting protein 2	83714	https://www.ncbi.nlm.nih.gov/gene/?term=83714
ENSG00000054690	PLEKHH1	pleckstrin homology, MyTH4 and FERM domain containing H1	57475	https://www.ncbi.nlm.nih.gov/gene/?term=57475
ENSG00000058335	RASGRF1	Ras protein specific guanine nucleotide releasing factor 1	5923	https://www.ncbi.nlm.nih.gov/gene/?term=5923
ENSG00000058866	DGKG	diacylglycerol kinase gamma	1608	https://www.ncbi.nlm.nih.gov/gene/?term=1608
ENSG00000059588	TARBP1	TAR (HIV-1) RNA binding protein 1	6894	https://www.ncbi.nlm.nih.gov/gene/?term=6894
ENSG00000062485	CS	citrate synthase	1431	https://www.ncbi.nlm.nih.gov/gene/?term=1431
ENSG00000064042	LIMCH1	LIM and calponin homology domains 1	22998	https://www.ncbi.nlm.nih.gov/gene/?term=22998
ENSG00000065154	OAT	ornithine aminotransferase	4942	https://www.ncbi.nlm.nih.gov/gene/?term=4942
ENSG00000065328	MCM10	minichromosome maintenance 10 replication initiation factor	55388	https://www.ncbi.nlm.nih.gov/gene/?term=55388
ENSG00000065534	MYLK	myosin light chain kinase	4638	https://www.ncbi.nlm.nih.gov/gene/?term=4638
ENSG00000065618	COL17A1	collagen type XVII alpha 1 chain	1308	https://www.ncbi.nlm.nih.gov/gene/?term=1308
ENSG00000065621	GSTO2	glutathione S-transferase omega 2	119391	https://www.ncbi.nlm.nih.gov/gene/?term=119391
ENSG00000065675	PRKCQ	protein kinase C theta	5588	https://www.ncbi.nlm.nih.gov/gene/?term=5588
ENSG00000065717	TLE2	TLE family member 2, transcriptional corepressor	7089	https://www.ncbi.nlm.nih.gov/gene/?term=7089
ENSG00000065809	FAM107B	family with sequence similarity 107 member B	83641	https://www.ncbi.nlm.nih.gov/gene/?term=83641
ENSG00000066044	ELAVL1	ELAV like RNA binding protein 1	1994	https://www.ncbi.nlm.nih.gov/gene/?term=1994
ENSG00000066056	TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	7075	https://www.ncbi.nlm.nih.gov/gene/?term=7075
ENSG00000066468	FGFR2	fibroblast growth factor receptor 2	2263	https://www.ncbi.nlm.nih.gov/gene/?term=2263
ENSG00000069188	SDK2	sidekick cell adhesion molecule 2	54549	https://www.ncbi.nlm.nih.gov/gene/?term=54549
ENSG00000069424	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2	8514	https://www.ncbi.nlm.nih.gov/gene/?term=8514
ENSG00000069535	MAOB	monoamine oxidase B	4129	https://www.ncbi.nlm.nih.gov/gene/?term=4129
ENSG00000072041	SLC6A15	solute carrier family 6 member 15	55117	https://www.ncbi.nlm.nih.gov/gene/?term=55117
ENSG00000072182	ASIC4	acid sensing ion channel subunit family member 4	55515	https://www.ncbi.nlm.nih.gov/gene/?term=55515
ENSG00000072310	SREBF1	sterol regulatory element binding transcription factor 1	6720	https://www.ncbi.nlm.nih.gov/gene/?term=6720
ENSG00000072657	TRHDE	thyrotropin releasing hormone degrading enzyme	29953	https://www.ncbi.nlm.nih.gov/gene/?term=29953
ENSG00000072694	FCGR2B	Fc fragment of IgG receptor IIb	2213	https://www.ncbi.nlm.nih.gov/gene/?term=2213
ENSG00000073711	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha	5523	https://www.ncbi.nlm.nih.gov/gene/?term=5523
ENSG00000074211	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma	5522	https://www.ncbi.nlm.nih.gov/gene/?term=5522
ENSG00000074527	NTN4	netrin 4	59277	https://www.ncbi.nlm.nih.gov/gene/?term=59277
ENSG00000075461	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4	27092	https://www.ncbi.nlm.nih.gov/gene/?term=27092
ENSG00000075785	RAB7A	RAB7A, member RAS oncogene family	7879	https://www.ncbi.nlm.nih.gov/gene/?term=7879
ENSG00000078269	SYNJ2	synaptojanin 2	8871	https://www.ncbi.nlm.nih.gov/gene/?term=8871
ENSG00000078596	ITM2A	integral membrane protein 2A	9452	https://www.ncbi.nlm.nih.gov/gene/?term=9452
ENSG00000079101	CLUL1	clusterin like 1	27098	https://www.ncbi.nlm.nih.gov/gene/?term=27098
ENSG00000079156	OSBPL6	oxysterol binding protein like 6	114880	https://www.ncbi.nlm.nih.gov/gene/?term=114880
ENSG00000079257	LXN	latexin	56925	https://www.ncbi.nlm.nih.gov/gene/?term=56925
ENSG00000080031	PTPRH	protein tyrosine phosphatase, receptor type H	5794	https://www.ncbi.nlm.nih.gov/gene/?term=5794
ENSG00000080819	CPOX	coproporphyrinogen oxidase	1371	https://www.ncbi.nlm.nih.gov/gene/?term=1371
ENSG00000081479	LRP2	LDL receptor related protein 2	4036	https://www.ncbi.nlm.nih.gov/gene/?term=4036
ENSG00000082146	STRADB	STE20 related adaptor beta	55437	https://www.ncbi.nlm.nih.gov/gene/?term=55437
ENSG00000082996	RNF13	ring finger protein 13	11342	https://www.ncbi.nlm.nih.gov/gene/?term=11342
ENSG00000085563	ABCB1	ATP binding cassette subfamily B member 1	5243	https://www.ncbi.nlm.nih.gov/gene/?term=5243
ENSG00000086205	FOLH1	folate hydrolase 1	2346	https://www.ncbi.nlm.nih.gov/gene/?term=2346
ENSG00000086991	NOX4	NADPH oxidase 4	50507	https://www.ncbi.nlm.nih.gov/gene/?term=50507
ENSG00000088367	EPB41L1	erythrocyte membrane protein band 4.1 like 1	2036	https://www.ncbi.nlm.nih.gov/gene/?term=2036
ENSG00000088827	SIGLEC1	sialic acid binding Ig like lectin 1	6614	https://www.ncbi.nlm.nih.gov/gene/?term=6614
ENSG00000088854	C20orf194	chromosome 20 open reading frame 194	25943	https://www.ncbi.nlm.nih.gov/gene/?term=25943
ENSG00000089127	OAS1	2'-5'-oligoadenylate synthetase 1	4938	https://www.ncbi.nlm.nih.gov/gene/?term=4938
ENSG00000089177	KIF16B	kinesin family member 16B	55614	https://www.ncbi.nlm.nih.gov/gene/?term=55614
ENSG00000089847	ANKRD24	ankyrin repeat domain 24	170961	https://www.ncbi.nlm.nih.gov/gene/?term=170961
ENSG00000090530	P3H2	prolyl 3-hydroxylase 2	55214	https://www.ncbi.nlm.nih.gov/gene/?term=55214
ENSG00000090659	CD209	CD209 molecule	30835	https://www.ncbi.nlm.nih.gov/gene/?term=30835
ENSG00000091128	LAMB4	laminin subunit beta 4	22798	https://www.ncbi.nlm.nih.gov/gene/?term=22798
ENSG00000091129	NRCAM	neuronal cell adhesion molecule	4897	https://www.ncbi.nlm.nih.gov/gene/?term=4897
ENSG00000091181	IL5RA	interleukin 5 receptor subunit alpha	3568	https://www.ncbi.nlm.nih.gov/gene/?term=3568
ENSG00000091513	TF	transferrin	7018	https://www.ncbi.nlm.nih.gov/gene/?term=7018
ENSG00000091844	RGS17	regulator of G protein signaling 17	26575	https://www.ncbi.nlm.nih.gov/gene/?term=26575
ENSG00000091879	ANGPT2	angiopoietin 2	285	https://www.ncbi.nlm.nih.gov/gene/?term=285
ENSG00000092529	CAPN3	calpain 3	825	https://www.ncbi.nlm.nih.gov/gene/?term=825
ENSG00000095485	CWF19L1	CWF19 like cell cycle control factor 1	55280	https://www.ncbi.nlm.nih.gov/gene/?term=55280
ENSG00000095574	IKZF5	IKAROS family zinc finger 5	64376	https://www.ncbi.nlm.nih.gov/gene/?term=64376
ENSG00000095587	TLL2	tolloid like 2	7093	https://www.ncbi.nlm.nih.gov/gene/?term=7093
ENSG00000095777	MYO3A	myosin IIIA	53904	https://www.ncbi.nlm.nih.gov/gene/?term=53904
ENSG00000096060	FKBP5	FKBP prolyl isomerase 5	2289	https://www.ncbi.nlm.nih.gov/gene/?term=2289
ENSG00000097046	CDC7	cell division cycle 7	8317	https://www.ncbi.nlm.nih.gov/gene/?term=8317
ENSG00000099194	SCD	stearoyl-CoA desaturase	6319	https://www.ncbi.nlm.nih.gov/gene/?term=6319
ENSG00000099308	MAST3	microtubule associated serine/threonine kinase 3	23031	https://www.ncbi.nlm.nih.gov/gene/?term=23031
ENSG00000099625	CBARP	CACN subunit beta associated regulatory protein	255057	https://www.ncbi.nlm.nih.gov/gene/?term=255057
ENSG00000099715	PCDH11Y	protocadherin 11 Y-linked	83259	https://www.ncbi.nlm.nih.gov/gene/?term=83259
ENSG00000099822	HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2	610	https://www.ncbi.nlm.nih.gov/gene/?term=610
ENSG00000100249	C22orf31	chromosome 22 open reading frame 31	25770	https://www.ncbi.nlm.nih.gov/gene/?term=25770
ENSG00000100298	APOBEC3H	apolipoprotein B mRNA editing enzyme catalytic subunit 3H	164668	https://www.ncbi.nlm.nih.gov/gene/?term=164668
ENSG00000100307	CBX7	chromobox 7	23492	https://www.ncbi.nlm.nih.gov/gene/?term=23492
ENSG00000100364	KIAA0930	KIAA0930	23313	https://www.ncbi.nlm.nih.gov/gene/?term=23313
ENSG00000100473	COCH	cochlin	1690	https://www.ncbi.nlm.nih.gov/gene/?term=1690
ENSG00000100592	DAAM1	dishevelled associated activator of morphogenesis 1	23002	https://www.ncbi.nlm.nih.gov/gene/?term=23002
ENSG00000100600	LGMN	legumain	5641	https://www.ncbi.nlm.nih.gov/gene/?term=5641
ENSG00000100644	HIF1A	hypoxia inducible factor 1 subunit alpha	3091	https://www.ncbi.nlm.nih.gov/gene/?term=3091
ENSG00000100784	RPS6KA5	ribosomal protein S6 kinase A5	9252	https://www.ncbi.nlm.nih.gov/gene/?term=9252
ENSG00000100884	CPNE6	copine 6	9362	https://www.ncbi.nlm.nih.gov/gene/?term=9362
ENSG00000100985	MMP9	matrix metallopeptidase 9	4318	https://www.ncbi.nlm.nih.gov/gene/?term=4318
ENSG00000101276	SLC52A3	solute carrier family 52 member 3	113278	https://www.ncbi.nlm.nih.gov/gene/?term=113278
ENSG00000101850	GPR143	G protein-coupled receptor 143	4935	https://www.ncbi.nlm.nih.gov/gene/?term=4935
ENSG00000102575	ACP5	acid phosphatase 5, tartrate resistant	54	https://www.ncbi.nlm.nih.gov/gene/?term=54
ENSG00000102743	SLC25A15	solute carrier family 25 member 15	10166	https://www.ncbi.nlm.nih.gov/gene/?term=10166
ENSG00000102786	INTS6	integrator complex subunit 6	26512	https://www.ncbi.nlm.nih.gov/gene/?term=26512
ENSG00000102878	HSF4	heat shock transcription factor 4	3299	https://www.ncbi.nlm.nih.gov/gene/?term=3299
ENSG00000102996	MMP15	matrix metallopeptidase 15	4324	https://www.ncbi.nlm.nih.gov/gene/?term=4324
ENSG00000103089	FA2H	fatty acid 2-hydroxylase	79152	https://www.ncbi.nlm.nih.gov/gene/?term=79152
ENSG00000103184	SEC14L5	SEC14 like lipid binding 5	9717	https://www.ncbi.nlm.nih.gov/gene/?term=9717
ENSG00000103196	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2	83716	https://www.ncbi.nlm.nih.gov/gene/?term=83716
ENSG00000103257	SLC7A5	solute carrier family 7 member 5	8140	https://www.ncbi.nlm.nih.gov/gene/?term=8140
ENSG00000103485	QPRT	quinolinate phosphoribosyltransferase	23475	https://www.ncbi.nlm.nih.gov/gene/?term=23475
ENSG00000103657	HERC1	HECT and RLD domain containing E3 ubiquitin protein ligase family member 1	8925	https://www.ncbi.nlm.nih.gov/gene/?term=8925
ENSG00000103811	CTSH	cathepsin H	1512	https://www.ncbi.nlm.nih.gov/gene/?term=1512
ENSG00000104332	SFRP1	secreted frizzled related protein 1	6422	https://www.ncbi.nlm.nih.gov/gene/?term=6422
ENSG00000104722	NEFM	neurofilament medium	4741	https://www.ncbi.nlm.nih.gov/gene/?term=4741
ENSG00000104765	BNIP3L	BCL2 interacting protein 3 like	665	https://www.ncbi.nlm.nih.gov/gene/?term=665
ENSG00000104833	TUBB4A	tubulin beta 4A class IVa	10382	https://www.ncbi.nlm.nih.gov/gene/?term=10382
ENSG00000104951	IL4I1	interleukin 4 induced 1	259307	https://www.ncbi.nlm.nih.gov/gene/?term=259307
ENSG00000104953	TLE6	TLE family member 6, subcortical maternal complex member	79816	https://www.ncbi.nlm.nih.gov/gene/?term=79816
ENSG00000105290	APLP1	amyloid beta precursor like protein 1	333	https://www.ncbi.nlm.nih.gov/gene/?term=333
ENSG00000105376	ICAM5	intercellular adhesion molecule 5	7087	https://www.ncbi.nlm.nih.gov/gene/?term=7087
ENSG00000105499	PLA2G4C	phospholipase A2 group IVC	8605	https://www.ncbi.nlm.nih.gov/gene/?term=8605
ENSG00000105514	RAB3D	RAB3D, member RAS oncogene family	9545	https://www.ncbi.nlm.nih.gov/gene/?term=9545
ENSG00000105643	ARRDC2	arrestin domain containing 2	27106	https://www.ncbi.nlm.nih.gov/gene/?term=27106
ENSG00000105695	MAG	myelin associated glycoprotein	4099	https://www.ncbi.nlm.nih.gov/gene/?term=4099
ENSG00000105707	HPN	hepsin	3249	https://www.ncbi.nlm.nih.gov/gene/?term=3249
ENSG00000105792	CFAP69	cilia and flagella associated protein 69	79846	https://www.ncbi.nlm.nih.gov/gene/?term=79846
ENSG00000105963	ADAP1	ArfGAP with dual PH domains 1	11033	https://www.ncbi.nlm.nih.gov/gene/?term=11033
ENSG00000106069	CHN2	chimerin 2	1124	https://www.ncbi.nlm.nih.gov/gene/?term=1124
ENSG00000106772	PRUNE2	prune homolog 2 with BCH domain	158471	https://www.ncbi.nlm.nih.gov/gene/?term=158471
ENSG00000106780	MEGF9	multiple EGF like domains 9	1955	https://www.ncbi.nlm.nih.gov/gene/?term=1955
ENSG00000106819	ASPN	asporin	54829	https://www.ncbi.nlm.nih.gov/gene/?term=54829
ENSG00000106829	TLE4	TLE family member 4, transcriptional corepressor	7091	https://www.ncbi.nlm.nih.gov/gene/?term=7091
ENSG00000107201	DDX58	DExD/H-box helicase 58	23586	https://www.ncbi.nlm.nih.gov/gene/?term=23586
ENSG00000107317	PTGDS	prostaglandin D2 synthase	5730	https://www.ncbi.nlm.nih.gov/gene/?term=5730
ENSG00000107593	PKD2L1	polycystin 2 like 1, transient receptor potential cation channel	9033	https://www.ncbi.nlm.nih.gov/gene/?term=9033
ENSG00000107736	CDH23	cadherin related 23	64072	https://www.ncbi.nlm.nih.gov/gene/?term=64072
ENSG00000107798	LIPA	lipase A, lysosomal acid type	3988	https://www.ncbi.nlm.nih.gov/gene/?term=3988
ENSG00000107816	LZTS2	leucine zipper tumor suppressor 2	84445	https://www.ncbi.nlm.nih.gov/gene/?term=84445
ENSG00000107819	SFXN3	sideroflexin 3	81855	https://www.ncbi.nlm.nih.gov/gene/?term=81855
ENSG00000107902	LHPP	phospholysine phosphohistidine inorganic pyrophosphate phosphatase	64077	https://www.ncbi.nlm.nih.gov/gene/?term=64077
ENSG00000107957	SH3PXD2A	SH3 and PX domains 2A	9644	https://www.ncbi.nlm.nih.gov/gene/?term=9644
ENSG00000108342	CSF3	colony stimulating factor 3	1440	https://www.ncbi.nlm.nih.gov/gene/?term=1440
ENSG00000108375	RNF43	ring finger protein 43	54894	https://www.ncbi.nlm.nih.gov/gene/?term=54894
ENSG00000108381	ASPA	aspartoacylase	443	https://www.ncbi.nlm.nih.gov/gene/?term=443
ENSG00000108387	SEPT4	septin 4	5414	https://www.ncbi.nlm.nih.gov/gene/?term=5414
ENSG00000108448	TRIM16L	tripartite motif containing 16 like	147166	https://www.ncbi.nlm.nih.gov/gene/?term=147166
ENSG00000108469	RECQL5	RecQ like helicase 5	9400	https://www.ncbi.nlm.nih.gov/gene/?term=9400
ENSG00000108511	HOXB6	homeobox B6	3216	https://www.ncbi.nlm.nih.gov/gene/?term=3216
ENSG00000108602	ALDH3A1	aldehyde dehydrogenase 3 family member A1	218	https://www.ncbi.nlm.nih.gov/gene/?term=218
ENSG00000108669	CYTH1	cytohesin 1	9267	https://www.ncbi.nlm.nih.gov/gene/?term=9267
ENSG00000108771	DHX58	DExH-box helicase 58	79132	https://www.ncbi.nlm.nih.gov/gene/?term=79132
ENSG00000108799	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit	2145	https://www.ncbi.nlm.nih.gov/gene/?term=2145
ENSG00000108830	RND2	Rho family GTPase 2	8153	https://www.ncbi.nlm.nih.gov/gene/?term=8153
ENSG00000108840	HDAC5	histone deacetylase 5	10014	https://www.ncbi.nlm.nih.gov/gene/?term=10014
ENSG00000109079	TNFAIP1	TNF alpha induced protein 1	7126	https://www.ncbi.nlm.nih.gov/gene/?term=7126
ENSG00000109321	AREG	amphiregulin	374	https://www.ncbi.nlm.nih.gov/gene/?term=374
ENSG00000109323	MANBA	mannosidase beta	4126	https://www.ncbi.nlm.nih.gov/gene/?term=4126
ENSG00000109610	SOD3	superoxide dismutase 3	6649	https://www.ncbi.nlm.nih.gov/gene/?term=6649
ENSG00000109654	TRIM2	tripartite motif containing 2	23321	https://www.ncbi.nlm.nih.gov/gene/?term=23321
ENSG00000109943	CRTAM	cytotoxic and regulatory T cell molecule	56253	https://www.ncbi.nlm.nih.gov/gene/?term=56253
ENSG00000110318	CEP126	centrosomal protein 126	57562	https://www.ncbi.nlm.nih.gov/gene/?term=57562
ENSG00000110777	POU2AF1	POU class 2 associating factor 1	5450	https://www.ncbi.nlm.nih.gov/gene/?term=5450
ENSG00000110799	VWF	von Willebrand factor	7450	https://www.ncbi.nlm.nih.gov/gene/?term=7450
ENSG00000111206	FOXM1	forkhead box M1	2305	https://www.ncbi.nlm.nih.gov/gene/?term=2305
ENSG00000111269	CREBL2	cAMP responsive element binding protein like 2	1389	https://www.ncbi.nlm.nih.gov/gene/?term=1389
ENSG00000111275	ALDH2	aldehyde dehydrogenase 2 family member	217	https://www.ncbi.nlm.nih.gov/gene/?term=217
ENSG00000111335	OAS2	2'-5'-oligoadenylate synthetase 2	4939	https://www.ncbi.nlm.nih.gov/gene/?term=4939
ENSG00000111344	RASAL1	RAS protein activator like 1	8437	https://www.ncbi.nlm.nih.gov/gene/?term=8437
ENSG00000111432	FZD10	frizzled class receptor 10	11211	https://www.ncbi.nlm.nih.gov/gene/?term=11211
ENSG00000111452	ADGRD1	adhesion G protein-coupled receptor D1	283383	https://www.ncbi.nlm.nih.gov/gene/?term=283383
ENSG00000111897	SERINC1	serine incorporator 1	57515	https://www.ncbi.nlm.nih.gov/gene/?term=57515
ENSG00000111907	TPD52L1	TPD52 like 1	7164	https://www.ncbi.nlm.nih.gov/gene/?term=7164
ENSG00000111912	NCOA7	nuclear receptor coactivator 7	135112	https://www.ncbi.nlm.nih.gov/gene/?term=135112
ENSG00000112053	SLC26A8	solute carrier family 26 member 8	116369	https://www.ncbi.nlm.nih.gov/gene/?term=116369
ENSG00000112175	BMP5	bone morphogenetic protein 5	653	https://www.ncbi.nlm.nih.gov/gene/?term=653
ENSG00000112214	FHL5	four and a half LIM domains 5	9457	https://www.ncbi.nlm.nih.gov/gene/?term=9457
ENSG00000112312	GMNN	geminin, DNA replication inhibitor	51053	https://www.ncbi.nlm.nih.gov/gene/?term=51053
ENSG00000112773	TENT5A	terminal nucleotidyltransferase 5A	55603	https://www.ncbi.nlm.nih.gov/gene/?term=55603
ENSG00000112812	PRSS16	serine protease 16	10279	https://www.ncbi.nlm.nih.gov/gene/?term=10279
ENSG00000112893	MAN2A1	mannosidase alpha class 2A member 1	4124	https://www.ncbi.nlm.nih.gov/gene/?term=4124
ENSG00000113088	GZMK	granzyme K	3003	https://www.ncbi.nlm.nih.gov/gene/?term=3003
ENSG00000113163	COL4A3BP	collagen type IV alpha 3 binding protein	10087	https://www.ncbi.nlm.nih.gov/gene/?term=10087
ENSG00000113361	CDH6	cadherin 6	1004	https://www.ncbi.nlm.nih.gov/gene/?term=1004
ENSG00000113448	PDE4D	phosphodiesterase 4D	5144	https://www.ncbi.nlm.nih.gov/gene/?term=5144
ENSG00000113578	FGF1	fibroblast growth factor 1	2246	https://www.ncbi.nlm.nih.gov/gene/?term=2246
ENSG00000113721	PDGFRB	platelet derived growth factor receptor beta	5159	https://www.ncbi.nlm.nih.gov/gene/?term=5159
ENSG00000114098	ARMC8	armadillo repeat containing 8	25852	https://www.ncbi.nlm.nih.gov/gene/?term=25852
ENSG00000114439	BBX	BBX, HMG-box containing	56987	https://www.ncbi.nlm.nih.gov/gene/?term=56987
ENSG00000114757	PEX5L	peroxisomal biogenesis factor 5 like	51555	https://www.ncbi.nlm.nih.gov/gene/?term=51555
ENSG00000115267	IFIH1	interferon induced with helicase C domain 1	64135	https://www.ncbi.nlm.nih.gov/gene/?term=64135
ENSG00000115295	CLIP4	CAP-Gly domain containing linker protein family member 4	79745	https://www.ncbi.nlm.nih.gov/gene/?term=79745
ENSG00000115310	RTN4	reticulon 4	57142	https://www.ncbi.nlm.nih.gov/gene/?term=57142
ENSG00000115423	DNAH6	dynein axonemal heavy chain 6	1768	https://www.ncbi.nlm.nih.gov/gene/?term=1768
ENSG00000115602	IL1RL1	interleukin 1 receptor like 1	9173	https://www.ncbi.nlm.nih.gov/gene/?term=9173
ENSG00000116661	FBXO2	F-box protein 2	26232	https://www.ncbi.nlm.nih.gov/gene/?term=26232
ENSG00000116833	NR5A2	nuclear receptor subfamily 5 group A member 2	2494	https://www.ncbi.nlm.nih.gov/gene/?term=2494
ENSG00000116962	NID1	nidogen 1	4811	https://www.ncbi.nlm.nih.gov/gene/?term=4811
ENSG00000116991	SIPA1L2	signal induced proliferation associated 1 like 2	57568	https://www.ncbi.nlm.nih.gov/gene/?term=57568
ENSG00000117114	ADGRL2	adhesion G protein-coupled receptor L2	23266	https://www.ncbi.nlm.nih.gov/gene/?term=23266
ENSG00000117598	PLPPR5	phospholipid phosphatase related 5	163404	https://www.ncbi.nlm.nih.gov/gene/?term=163404
ENSG00000118432	CNR1	cannabinoid receptor 1	1268	https://www.ncbi.nlm.nih.gov/gene/?term=1268
ENSG00000118492	ADGB	androglobin	79747	https://www.ncbi.nlm.nih.gov/gene/?term=79747
ENSG00000118733	OLFM3	olfactomedin 3	118427	https://www.ncbi.nlm.nih.gov/gene/?term=118427
ENSG00000118777	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	https://www.ncbi.nlm.nih.gov/gene/?term=9429
ENSG00000119125	GDA	guanine deaminase	9615	https://www.ncbi.nlm.nih.gov/gene/?term=9615
ENSG00000119138	KLF9	Kruppel like factor 9	687	https://www.ncbi.nlm.nih.gov/gene/?term=687
ENSG00000119147	C2orf40	chromosome 2 open reading frame 40	84417	https://www.ncbi.nlm.nih.gov/gene/?term=84417
ENSG00000119403	PHF19	PHD finger protein 19	26147	https://www.ncbi.nlm.nih.gov/gene/?term=26147
ENSG00000119411	BSPRY	B-box and SPRY domain containing	54836	https://www.ncbi.nlm.nih.gov/gene/?term=54836
ENSG00000119630	PGF	placental growth factor	5228	https://www.ncbi.nlm.nih.gov/gene/?term=5228
ENSG00000119917	IFIT3	interferon induced protein with tetratricopeptide repeats 3	3437	https://www.ncbi.nlm.nih.gov/gene/?term=3437
ENSG00000119922	IFIT2	interferon induced protein with tetratricopeptide repeats 2	3433	https://www.ncbi.nlm.nih.gov/gene/?term=3433
ENSG00000119929	CUTC	cutC copper transporter	51076	https://www.ncbi.nlm.nih.gov/gene/?term=51076
ENSG00000119950	MXI1	MAX interactor 1, dimerization protein	4601	https://www.ncbi.nlm.nih.gov/gene/?term=4601
